CHAT: Apr 19 15:43:42 {name  = "Cecemel", ucid = "565a95bb1086f56c4adc7f838b1754fa", ip = "178.117.32.13:50712", id = 2} said "f" to all
CHAT: Apr 19 16:55:10 {name  = "Kisi", ucid = "d6c47bc98cf9633bffb8d1ae4ff9e2f7", ip = "83.8.65.63:50364", id = 15} said "SLMOD INFO: Player "Kisi" is getting autokicked back to spectator" to all
CHAT: Apr 19 16:55:10 {name  = "LaoJiang", ucid = "8c2cdd117e279a834a4c3a121460ec7c", ip = "31.205.96.30:11724", id = 16} said "SLMOD INFO: Player "Kisi" is getting autokicked back to spectator" to all
CHAT: Apr 19 16:55:10 {name  = "Tikka", ucid = "c17f8ae31e187fe8345abf1a0301f863", ip = "80.221.133.159:50282", id = 17} said "SLMOD INFO: Player "Kisi" is getting autokicked back to spectator" to all
CHAT: Apr 19 16:55:10 {name  = "TITI", ucid = "57f39e0bd6292d681b31ecd81a6b1733", ip = "88.121.97.247:44437", id = 18} said "SLMOD INFO: Player "Kisi" is getting autokicked back to spectator" to all
CHAT: Apr 19 16:55:10 {name  = "Ronald Reagan", ucid = "24e9492b5b1388709cff13f6e480d564", ip = "69.158.70.8:50898", id = 20} said "SLMOD INFO: Player "Kisi" is getting autokicked back to spectator" to all
CHAT: Apr 19 16:55:10 {name  = "Lügenbaron aus NRW", ucid = "bb06de5d99c767a6c6c3e87b1b91bc68", ip = "91.9.126.243:51196", id = 21} said "SLMOD INFO: Player "Kisi" is getting autokicked back to spectator" to all
CHAT: Apr 19 16:55:10 {name  = "YPG", ucid = "7e7de00c8f63ab275f736981e181ca7d", ip = "69.122.217.213:51470", id = 22} said "SLMOD INFO: Player "Kisi" is getting autokicked back to spectator" to all
CHAT: Apr 19 16:55:10 {name  = "Howitzer", ucid = "066df15705c571df5056d218178b601c", ip = "39.34.247.147:50517", id = 23} said "SLMOD INFO: Player "Kisi" is getting autokicked back to spectator" to all
CHAT: Apr 19 16:55:10 {name  = "Havoc", ucid = "90870041fda2f433fac506f5e65be2f4", ip = "82.140.46.203:62718", id = 24} said "SLMOD INFO: Player "Kisi" is getting autokicked back to spectator" to all
CHAT: Apr 19 16:55:10 {name  = "Bennett", ucid = "e99cc75863344665230b570ea7e2485f", ip = "84.253.252.227:55708", id = 25} said "SLMOD INFO: Player "Kisi" is getting autokicked back to spectator" to all
CHAT: Apr 19 16:55:10 {name  = "jack", ucid = "693b461cb51daf7f69be717b9d745e16", ip = "82.129.83.162:49896", id = 26} said "SLMOD INFO: Player "Kisi" is getting autokicked back to spectator" to all
CHAT: Apr 19 16:55:10 {name  = "homer", ucid = "2e2e6e7dc1c94887a2c319fb8bdb06d0", ip = "2.7.204.166:59826", id = 27} said "SLMOD INFO: Player "Kisi" is getting autokicked back to spectator" to all
CHAT: Apr 19 16:55:10 {name  = "Silver 1-1", ucid = "38ffc5186963f578ba09154a7b0cb9ee", ip = "136.49.83.65:64851", id = 28} said "SLMOD INFO: Player "Kisi" is getting autokicked back to spectator" to all
CHAT: Apr 19 16:55:10 {name  = "Cobra 131 | SteelFalcon", ucid = "6787154c7022cb11e9fe057c02f3fc78", ip = "31.10.160.255:51844", id = 29} said "SLMOD INFO: Player "Kisi" is getting autokicked back to spectator" to all
CHAT: Apr 19 16:55:10 {name  = "[Madrid 6-9] Jaki", ucid = "38f9543bc0c5237870392693e7bb1a26", ip = "37.134.145.227:51027", id = 30} said "SLMOD INFO: Player "Kisi" is getting autokicked back to spectator" to all
CHAT: Apr 19 16:55:10 {name  = "Bravo 1 - 6 I Magnum", ucid = "a55313bdc75cfe9158f41e73958996dc", ip = "93.185.19.215:32255", id = 31} said "SLMOD INFO: Player "Kisi" is getting autokicked back to spectator" to all
CHAT: Apr 19 16:55:10 {name  = "Ghostriderrr", ucid = "5c30ee1eb0c73e0c0b3e9b5a5fd9eb29", ip = "77.236.208.121:52858", id = 32} said "SLMOD INFO: Player "Kisi" is getting autokicked back to spectator" to all
TEAM HIT: Apr 19 17:05:37 {players = {1 = {name  = "Akub Goldberg", ucid = "838ae6eedad70700ffe51a3e81290a2e", ip = "93.213.209.24:51651", id = 12}1 = {name = USAF_7#003-01 with AIM-120C-5
TEAM KILL: Apr 19 17:05:42 {players = {1 = {name  = "Akub Goldberg", ucid = "838ae6eedad70700ffe51a3e81290a2e", ip = "nil", id = 12}1 = {name = USAF_7#003-01 with AIM-120C-5
CHAT: Apr 19 17:16:42 {name  = "Akub Goldberg", ucid = "838ae6eedad70700ffe51a3e81290a2e", ip = "93.213.209.24:51651", id = 12} said "did we loose our awacs ?" to all
TEAM HIT: Apr 19 17:18:34 {players = {1 = {name  = "Termi", ucid = "c9e1f3752fb0b8a2d653a6893d2d0120", ip = "83.33.156.143:61239", id = 7}1 = {name = New Static Object #069 with GBU-12
TEAM KILL: Apr 19 17:18:34 {players = {1 = {name  = "Termi", ucid = "c9e1f3752fb0b8a2d653a6893d2d0120", ip = "nil", id = 7}1 = {name = New Static Object #069 with GBU-12
TEAM HIT: Apr 19 17:19:23 {players = {1 = {name  = "Silver 1-1", ucid = "38ffc5186963f578ba09154a7b0cb9ee", ip = "136.49.83.65:64851", id = 28}1 = {name = Lügenbaron aus NRW with AIM-9M
TEAM HIT: Apr 19 17:19:40 {players = {1 = {name  = "Termi", ucid = "c9e1f3752fb0b8a2d653a6893d2d0120", ip = "83.33.156.143:61239", id = 7}1 = {name = biscuit with GBU-12
TEAM KILL: Apr 19 17:19:41 {players = {1 = {name  = "Silver 1-1", ucid = "38ffc5186963f578ba09154a7b0cb9ee", ip = "nil", id = 28}1 = {name = Lügenbaron aus NRW with AIM-9M
CHAT: Apr 19 17:19:41 {name  = "Lügenbaron aus NRW", ucid = "bb06de5d99c767a6c6c3e87b1b91bc68", ip = "91.9.126.243:51196", id = 21} said "Nice" to all
CHAT: Apr 19 17:19:44 {name  = "Lügenbaron aus NRW", ucid = "bb06de5d99c767a6c6c3e87b1b91bc68", ip = "91.9.126.243:51196", id = 21} said "thx" to all
CHAT: Apr 19 17:19:56 {name  = "Silver 1-1", ucid = "38ffc5186963f578ba09154a7b0cb9ee", ip = "136.49.83.65:64851", id = 28} said "Lugenbaron sorry man" to all
CHAT: Apr 19 17:20:06 {name  = "Silver 1-1", ucid = "38ffc5186963f578ba09154a7b0cb9ee", ip = "136.49.83.65:64851", id = 28} said "I didnt IFF well enough" to all
CHAT: Apr 19 17:20:10 {name  = "Lügenbaron aus NRW", ucid = "bb06de5d99c767a6c6c3e87b1b91bc68", ip = "91.9.126.243:51196", id = 21} said "-punish" to all (output suppressed by Slmod)
TEAM HIT: Apr 19 17:23:14 {players = {1 = {name  = "LaoJiang", ucid = "8c2cdd117e279a834a4c3a121460ec7c", ip = "31.205.96.30:11724", id = 16}1 = {name = Heat with AIM-120C-5
TEAM KILL: Apr 19 17:23:46 {players = {1 = {name  = "LaoJiang", ucid = "8c2cdd117e279a834a4c3a121460ec7c", ip = "nil", id = 16}1 = {name = Heat with AIM-120C-5
CHAT: Apr 19 17:24:04 {name  = "LaoJiang", ucid = "8c2cdd117e279a834a4c3a121460ec7c", ip = "31.205.96.30:11724", id = 16} said "SORRY IFF NOT WORKING" to all
CHAT: Apr 19 17:24:17 {name  = "WheelBrake", ucid = "dea493b708fbb7bbb867e91f3fe4aada", ip = "70.82.30.220:60403", id = 2} said "SLMOD INFO: Player "LaoJiang" is getting autokicked back to spectator" to all
CHAT: Apr 19 17:24:17 {name  = "Cobra 132 | Rick1perquin", ucid = "3d52ea557707100164c7f0b9e340f9ab", ip = "77.165.140.244:58307", id = 3} said "SLMOD INFO: Player "LaoJiang" is getting autokicked back to spectator" to all
CHAT: Apr 19 17:24:17 {name  = "Zerochill009", ucid = "3b76e4823419d60bf2296381a8b44af3", ip = "82.73.36.53:59966", id = 4} said "SLMOD INFO: Player "LaoJiang" is getting autokicked back to spectator" to all
CHAT: Apr 19 17:24:17 {name  = "IMPI", ucid = "b7be1b0918f7a55d1d91f003ed30b47b", ip = "165.165.140.148:52517", id = 5} said "SLMOD INFO: Player "LaoJiang" is getting autokicked back to spectator" to all
CHAT: Apr 19 17:24:17 {name  = "Heat", ucid = "eb09a81f82ac0a3f07e6f044216ab6c5", ip = "86.243.69.53:50645", id = 6} said "SLMOD INFO: Player "LaoJiang" is getting autokicked back to spectator" to all
CHAT: Apr 19 17:24:17 {name  = "[VMFG 6] Horafym", ucid = "0600ba61329afabddc3991e95563df64", ip = "92.208.146.1:55909", id = 7} said "SLMOD INFO: Player "LaoJiang" is getting autokicked back to spectator" to all
CHAT: Apr 19 17:24:17 {name  = "biscuit", ucid = "d9997d31a9323d7fab7f294d6a3c5ee4", ip = "86.81.151.201:62509", id = 8} said "SLMOD INFO: Player "LaoJiang" is getting autokicked back to spectator" to all
CHAT: Apr 19 17:24:17 {name  = "YPG", ucid = "7e7de00c8f63ab275f736981e181ca7d", ip = "69.122.217.213:51625", id = 10} said "SLMOD INFO: Player "LaoJiang" is getting autokicked back to spectator" to all
CHAT: Apr 19 17:24:17 {name  = "thor", ucid = "e6a75860c3f6fbb9e13edaa8452665bf", ip = "93.41.121.124:42593", id = 11} said "SLMOD INFO: Player "LaoJiang" is getting autokicked back to spectator" to all
CHAT: Apr 19 17:24:17 {name  = "Akub Goldberg", ucid = "838ae6eedad70700ffe51a3e81290a2e", ip = "93.213.209.24:51651", id = 12} said "SLMOD INFO: Player "LaoJiang" is getting autokicked back to spectator" to all
CHAT: Apr 19 17:24:17 {name  = "oudd54", ucid = "c9458978409f587d66e165668d611563", ip = "197.153.29.223:52996", id = 13} said "SLMOD INFO: Player "LaoJiang" is getting autokicked back to spectator" to all
CHAT: Apr 19 17:24:17 {name  = "Slam 1-1│FlyingPadre", ucid = "2f94375f60816f6813e0edab3dedc320", ip = "81.51.244.133:50541", id = 14} said "SLMOD INFO: Player "LaoJiang" is getting autokicked back to spectator" to all
CHAT: Apr 19 17:24:17 {name  = "Cobra 103 | Tomcat", ucid = "9c7b4cff7a8d7faa5b32fc80ca7d84a1", ip = "82.10.177.115:56223", id = 15} said "SLMOD INFO: Player "LaoJiang" is getting autokicked back to spectator" to all
CHAT: Apr 19 17:24:17 {name  = "LaoJiang", ucid = "8c2cdd117e279a834a4c3a121460ec7c", ip = "31.205.96.30:11724", id = 16} said "SLMOD INFO: Player "LaoJiang" is getting autokicked back to spectator" to all
CHAT: Apr 19 17:24:17 {name  = "Shiva 1-1 | Shaussette", ucid = "60daf8292b33614ea994c7ecead5940c", ip = "91.173.78.186:64550", id = 19} said "SLMOD INFO: Player "LaoJiang" is getting autokicked back to spectator" to all
CHAT: Apr 19 17:24:17 {name  = "Ronald Reagan", ucid = "24e9492b5b1388709cff13f6e480d564", ip = "69.158.70.8:50898", id = 20} said "SLMOD INFO: Player "LaoJiang" is getting autokicked back to spectator" to all
CHAT: Apr 19 17:24:17 {name  = "Sylvain Pacte", ucid = "c335db381d8ccb3879d75c33cdbe35bc", ip = "90.78.135.110:63722", id = 22} said "SLMOD INFO: Player "LaoJiang" is getting autokicked back to spectator" to all
CHAT: Apr 19 17:24:17 {name  = "Havoc", ucid = "90870041fda2f433fac506f5e65be2f4", ip = "82.140.46.203:62718", id = 24} said "SLMOD INFO: Player "LaoJiang" is getting autokicked back to spectator" to all
CHAT: Apr 19 17:24:17 {name  = "Bennett", ucid = "e99cc75863344665230b570ea7e2485f", ip = "84.253.252.227:55708", id = 25} said "SLMOD INFO: Player "LaoJiang" is getting autokicked back to spectator" to all
CHAT: Apr 19 17:24:17 {name  = "[Madrid 6-9] Jaki", ucid = "38f9543bc0c5237870392693e7bb1a26", ip = "37.134.145.227:51027", id = 30} said "SLMOD INFO: Player "LaoJiang" is getting autokicked back to spectator" to all
CHAT: Apr 19 17:24:17 {name  = "Bravo 1 - 6 I Magnum", ucid = "a55313bdc75cfe9158f41e73958996dc", ip = "93.185.19.215:32255", id = 31} said "SLMOD INFO: Player "LaoJiang" is getting autokicked back to spectator" to all
TEAM HIT: Apr 19 17:33:36 {players = {1 = {name  = "LaoJiang", ucid = "8c2cdd117e279a834a4c3a121460ec7c", ip = "31.205.96.30:11724", id = 16}1 = {name = Ronald Reagan with AIM-120C-5
CHAT: Apr 19 17:33:44 {name  = "Ronald Reagan", ucid = "24e9492b5b1388709cff13f6e480d564", ip = "69.158.70.8:50898", id = 20} said "BROOOOOOOOOOOOO IFFF" to all
TEAM KILL: Apr 19 17:33:46 {players = {1 = {name  = "LaoJiang", ucid = "8c2cdd117e279a834a4c3a121460ec7c", ip = "nil", id = 16}1 = {name = Ronald Reagan with AIM-120C-5
CHAT: Apr 19 17:34:03 {name  = "Ronald Reagan", ucid = "24e9492b5b1388709cff13f6e480d564", ip = "69.158.70.8:50898", id = 20} said "-punish" to all (output suppressed by Slmod)
CHAT: Apr 19 17:34:04 {name  = "WheelBrake", ucid = "dea493b708fbb7bbb867e91f3fe4aada", ip = "70.82.30.220:60403", id = 2} said "SLMOD INFO: Player "LaoJiang" is getting autokicked back to spectator" to all
CHAT: Apr 19 17:34:04 {name  = "Cobra 132 | Rick1perquin", ucid = "3d52ea557707100164c7f0b9e340f9ab", ip = "77.165.140.244:58307", id = 3} said "SLMOD INFO: Player "LaoJiang" is getting autokicked back to spectator" to all
CHAT: Apr 19 17:34:04 {name  = "Zerochill009", ucid = "3b76e4823419d60bf2296381a8b44af3", ip = "82.73.36.53:59966", id = 4} said "SLMOD INFO: Player "LaoJiang" is getting autokicked back to spectator" to all
CHAT: Apr 19 17:34:04 {name  = "IMPI", ucid = "b7be1b0918f7a55d1d91f003ed30b47b", ip = "165.165.140.148:52517", id = 5} said "SLMOD INFO: Player "LaoJiang" is getting autokicked back to spectator" to all
CHAT: Apr 19 17:34:04 {name  = "Heat", ucid = "eb09a81f82ac0a3f07e6f044216ab6c5", ip = "86.243.69.53:50645", id = 6} said "SLMOD INFO: Player "LaoJiang" is getting autokicked back to spectator" to all
CHAT: Apr 19 17:34:04 {name  = "jackson-", ucid = "273ec25ba5a19cb836e73437cbd7ea0c", ip = "41.251.128.62:59364", id = 7} said "SLMOD INFO: Player "LaoJiang" is getting autokicked back to spectator" to all
CHAT: Apr 19 17:34:04 {name  = "VARG kallibr44", ucid = "ae0ede7b19cddd7689999777931dedc4", ip = "88.204.103.137:49270", id = 8} said "SLMOD INFO: Player "LaoJiang" is getting autokicked back to spectator" to all
CHAT: Apr 19 17:34:04 {name  = "Tronzoid", ucid = "7d0bb614ba06a829216b124623d5f576", ip = "81.158.109.115:55538", id = 9} said "SLMOD INFO: Player "LaoJiang" is getting autokicked back to spectator" to all
CHAT: Apr 19 17:34:04 {name  = "YPG", ucid = "7e7de00c8f63ab275f736981e181ca7d", ip = "69.122.217.213:51625", id = 10} said "SLMOD INFO: Player "LaoJiang" is getting autokicked back to spectator" to all
CHAT: Apr 19 17:34:04 {name  = "[RSAF-7JRH]", ucid = "1349cfbb61ef7fb889919404d22114a8", ip = "176.45.192.107:64443", id = 11} said "SLMOD INFO: Player "LaoJiang" is getting autokicked back to spectator" to all
CHAT: Apr 19 17:34:04 {name  = "Akub Goldberg", ucid = "838ae6eedad70700ffe51a3e81290a2e", ip = "93.213.209.24:51651", id = 12} said "SLMOD INFO: Player "LaoJiang" is getting autokicked back to spectator" to all
CHAT: Apr 19 17:34:04 {name  = "oudd54", ucid = "c9458978409f587d66e165668d611563", ip = "197.153.29.223:52996", id = 13} said "SLMOD INFO: Player "LaoJiang" is getting autokicked back to spectator" to all
CHAT: Apr 19 17:34:04 {name  = "Voodoo 1-1 | Thunder", ucid = "a68a7e121468da41f4485433ffd4f98b", ip = "178.197.249.18:58969", id = 14} said "SLMOD INFO: Player "LaoJiang" is getting autokicked back to spectator" to all
CHAT: Apr 19 17:34:04 {name  = "Cobra 103 | Tomcat", ucid = "9c7b4cff7a8d7faa5b32fc80ca7d84a1", ip = "82.10.177.115:56223", id = 15} said "SLMOD INFO: Player "LaoJiang" is getting autokicked back to spectator" to all
CHAT: Apr 19 17:34:04 {name  = "LaoJiang", ucid = "8c2cdd117e279a834a4c3a121460ec7c", ip = "31.205.96.30:11724", id = 16} said "SLMOD INFO: Player "LaoJiang" is getting autokicked back to spectator" to all
CHAT: Apr 19 17:34:04 {name  = "Szczerba", ucid = "9e3a80a187f6e84bdae75a27e61dd75a", ip = "49.187.184.213:57821", id = 17} said "SLMOD INFO: Player "LaoJiang" is getting autokicked back to spectator" to all
