CHAT: Apr 15 17:14:46 {name  = "Ikaros", ucid = "0dde2cc8f5a1dd62d5c62a63183765a3", ip = "79.130.34.68:62003", id = 22} said "why no love for the vanilla A10C ?" to all
CHAT: Apr 15 17:40:31 {name  = "Cruncher", ucid = "cff8c0dd7174f057bc53fed0bd24d3a7", ip = "218.212.198.31:52891", id = 6} said "?" to all
CHAT: Apr 15 17:58:19 {name  = "Buffalo", ucid = "d858c5678952777083dd03357de829c6", ip = "178.27.138.81:49699", id = 32} said "gg" to all
CHAT: Apr 15 18:01:01 {name  = "Maddog 1-6", ucid = "50d3028437bcd26630d81fdd5f3d7c73", ip = "94.239.124.179:18524", id = 9} said "really?" to all
CHAT: Apr 15 18:01:15 {name  = "Maddog 1-6", ucid = "50d3028437bcd26630d81fdd5f3d7c73", ip = "94.239.124.179:18524", id = 9} said "Half a minute after I leave the ground?" to all
CHAT: Apr 15 18:04:25 {name  = "WebWeaver", ucid = "5cfe1554cb498f371c268e9c388e580b", ip = "173.218.45.110:51101", id = 24} said "this is plain stupid w/out awacs. and my boresight lahq wouldn't lock on 15 mi on my nose visual" to all
TEAM HIT: Apr 15 18:06:43 {players = {1 = {name  = "Pathdog", ucid = "5c09f997f8b1733f0dddae3bbd05281a", ip = "5.150.218.41:63036", id = 40}1 = {name = Juras with AIM-120C-5
TEAM HIT: Apr 15 18:06:46 {players = {1 = {name  = "Pathdog", ucid = "5c09f997f8b1733f0dddae3bbd05281a", ip = "5.150.218.41:63036", id = 40}1 = {name = Juras with AIM-120C-5
CHAT: Apr 15 18:07:05 {name  = "Pathdog", ucid = "5c09f997f8b1733f0dddae3bbd05281a", ip = "5.150.218.41:63036", id = 40} said "Sorry man, did you merge with that enemy?" to all
CHAT: Apr 15 18:07:15 {name  = "Pathdog", ucid = "5c09f997f8b1733f0dddae3bbd05281a", ip = "5.150.218.41:63036", id = 40} said "Might have gone pitbull on you instead" to all
CHAT: Apr 15 18:07:34 {name  = "Enigma", ucid = "d2f806bff643cb7a449cc789fcb88e33", ip = "94.209.172.53:52756", id = 23} said "F-18, you can move ahead" to all
TEAM KILL: Apr 15 18:07:43 {players = {1 = {name  = "Pathdog", ucid = "5c09f997f8b1733f0dddae3bbd05281a", ip = "nil", id = 40}1 = {name = Juras with AIM-120C-5
CHAT: Apr 15 18:08:35 {name  = "WebWeaver", ucid = "5cfe1554cb498f371c268e9c388e580b", ip = "173.218.45.110:51101", id = 24} said "no awacs datalink on this server :( would be a good server if had it" to all
CHAT: Apr 15 18:08:56 {name  = "Tats", ucid = "ceb70b86c9c0327347abea300e6f2294", ip = "86.190.27.33:49973", id = 20} said "\moan more please" to all
