CHAT: Dec 26 17:27:56 {name  = "GUYVER ARMOR", ucid = "120a9e8c560d276712a1d1b970aa810c", ip = "12.207.220.78:51619", id = 2} said "uff u too" to all
CHAT: Dec 26 20:33:20 {name  = "PreenDog", ucid = "bce46b4eb57a50043384ba25b4fcc032", ip = "75.155.21.177:56475", id = 22} said "yus" to all
CHAT: Dec 26 20:34:06 {name  = "Jubbs", ucid = "44fef393b7208d406ac464a929a0726f", ip = "70.172.66.194:57396", id = 10} said "let go" to all
CHAT: Dec 26 20:37:41 {name  = "SnapScorpion", ucid = "8a8b9283eb39a53d779b66b1fe0729d3", ip = "72.181.11.239:61591", id = 4} said "how do I find the nearest friendly airport" to all
CHAT: Dec 26 20:37:44 {name  = "SnapScorpion", ucid = "8a8b9283eb39a53d779b66b1fe0729d3", ip = "72.181.11.239:61591", id = 4} said "i'm almost out of fuel" to all
CHAT: Dec 26 20:38:09 {name  = "xiRag3Quitx", ucid = "31c0b6d93b8da6f88cef20429e7e6a14", ip = "72.130.210.245:60361", id = 13} said "f10 map and see whats blue" to all
CHAT: Dec 26 20:40:00 {name  = "PreenDog", ucid = "bce46b4eb57a50043384ba25b4fcc032", ip = "75.155.21.177:56475", id = 22} said "wtf this desync, gun hits not doing anything" to all
CHAT: Dec 26 20:41:59 {name  = "xiRag3Quitx", ucid = "31c0b6d93b8da6f88cef20429e7e6a14", ip = "72.130.210.245:60361", id = 13} said "im out" to all
CHAT: Dec 26 20:42:21 {name  = "PreenDog", ucid = "bce46b4eb57a50043384ba25b4fcc032", ip = "75.155.21.177:56475", id = 22} said "yeet" to all
CHAT: Dec 26 20:42:34 {name  = "xiRag3Quitx", ucid = "31c0b6d93b8da6f88cef20429e7e6a14", ip = "72.130.210.245:60361", id = 13} said "a10 can finish it up" to all
CHAT: Dec 26 20:43:35 {name  = "sassy", ucid = "deb7fe0db0dc23a454a2b26df3095719", ip = "102.250.6.53:59305", id = 16} said "RiskyBizkit I have respect for you bro" to all
CHAT: Dec 26 20:43:39 {name  = "Ghost", ucid = "7f171c68a757dc3d3f2a39ac3f466efa", ip = "196.50.247.252:64081", id = 14} said "riskybiskit thank you man" to all
CHAT: Dec 26 20:44:07 {name  = "Jubbs", ucid = "44fef393b7208d406ac464a929a0726f", ip = "70.172.66.194:57396", id = 10} said "`lol im stuck" to all
CHAT: Dec 26 20:44:42 {name  = "xiRag3Quitx", ucid = "31c0b6d93b8da6f88cef20429e7e6a14", ip = "72.130.210.245:60361", id = 13} said "inbound gudata rwy 33" to all
CHAT: Dec 26 20:46:26 {name  = "PreenDog", ucid = "bce46b4eb57a50043384ba25b4fcc032", ip = "75.155.21.177:56475", id = 22} said "wing unfold attack" to all
CHAT: Dec 26 20:46:28 {name  = "Krilli", ucid = "b2277d16a77ffb09d14d6ea0c7ebfc4c", ip = "91.64.197.160:61866", id = 18} said "how I am supposed to lock non russian radar with the f16" to all
CHAT: Dec 26 20:46:52 {name  = "SnapScorpion", ucid = "8a8b9283eb39a53d779b66b1fe0729d3", ip = "72.181.11.239:61591", id = 4} said "f-16 has non non-russian enemies" to all
CHAT: Dec 26 20:47:32 {name  = "Krilli", ucid = "b2277d16a77ffb09d14d6ea0c7ebfc4c", ip = "91.64.197.160:61866", id = 18} said "not on this server :D" to all
CHAT: Dec 26 20:48:48 {name  = "xiRag3Quitx", ucid = "31c0b6d93b8da6f88cef20429e7e6a14", ip = "72.130.210.245:60361", id = 13} said "final gudata" to all
CHAT: Dec 26 20:49:20 {name  = "sassy", ucid = "deb7fe0db0dc23a454a2b26df3095719", ip = "102.250.6.53:59305", id = 16} said "RIP risky Bizkit" to all
CHAT: Dec 26 20:49:28 {name  = "RiskyBizkit", ucid = "88e903afb392275ab94b72d9c9d5d6b5", ip = "84.180.133.189:56093", id = 23} said "lol" to all
CHAT: Dec 26 20:49:34 {name  = "RiskyBizkit", ucid = "88e903afb392275ab94b72d9c9d5d6b5", ip = "84.180.133.189:56093", id = 23} said "took the patriots out at least" to all
CHAT: Dec 26 20:49:38 {name  = "sassy", ucid = "deb7fe0db0dc23a454a2b26df3095719", ip = "102.250.6.53:59305", id = 16} said "a legend clearing a SAM ite" to all
CHAT: Dec 26 20:49:52 {name  = "RiskyBizkit", ucid = "88e903afb392275ab94b72d9c9d5d6b5", ip = "84.180.133.189:56093", id = 23} said "<3" to all
TEAM HIT: Dec 26 20:50:11 {players = {1 = {name  = "Trillion", ucid = "fa61f1e99632ae6c6d2a1d1774aff2db", ip = "46.223.160.108:15342", id = 5}1 = {name = LTJG Columbus | The State with F/A-18C Lot 20
TEAM HIT: Dec 26 20:50:11 {players = {1 = {name  = "LTJG Columbus | The State", ucid = "e79dc7768623edb83acd6d5e5922e25e", ip = "71.72.242.24:54290", id = 20}1 = {name = Trillion with F/A-18C Lot 20
TEAM KILL: Dec 26 20:50:12 {players = {1 = {name  = "Trillion", ucid = "fa61f1e99632ae6c6d2a1d1774aff2db", ip = "nil", id = 5}1 = {name = LTJG Columbus | The State with F/A-18C Lot 20
TEAM HIT: Dec 26 20:50:12 {players = {1 = {name  = "LTJG Columbus | The State", ucid = "e79dc7768623edb83acd6d5e5922e25e", ip = "71.72.242.24:54290", id = 20}1 = {name = 12_BLUE_CVN73_EAST with F/A-18C Lot 20
TEAM KILL: Dec 26 20:50:12 {players = {1 = {name  = "LTJG Columbus | The State", ucid = "e79dc7768623edb83acd6d5e5922e25e", ip = "nil", id = 20}1 = {name = Trillion with F/A-18C Lot 20
CHAT: Dec 26 20:50:42 {name  = "Mave", ucid = "16f3875670a8030881d164dfa51ecf5c", ip = "77.48.225.17:64482", id = 30} said "nice landing :-D" to all
CHAT: Dec 26 20:50:43 {name  = "Brazov 1-1 | Lince", ucid = "3aeedc017c0688d258fc97682155ccba", ip = "51.171.196.68:60289", id = 2} said "SLMOD INFO: Player "LTJG Columbus | The State" is getting autokicked back to spectator" to all
CHAT: Dec 26 20:50:43 {name  = "Danisku", ucid = "e7d0799b8bc57c6897f36c5d0e4834c8", ip = "86.49.248.142:6823", id = 3} said "SLMOD INFO: Player "LTJG Columbus | The State" is getting autokicked back to spectator" to all
CHAT: Dec 26 20:50:43 {name  = "Trillion", ucid = "fa61f1e99632ae6c6d2a1d1774aff2db", ip = "46.223.160.108:15342", id = 5} said "SLMOD INFO: Player "LTJG Columbus | The State" is getting autokicked back to spectator" to all
CHAT: Dec 26 20:50:43 {name  = "kill n joker", ucid = "dd2022278e5590bc75794e5e6aaf600e", ip = "66.27.199.197:49887", id = 6} said "SLMOD INFO: Player "LTJG Columbus | The State" is getting autokicked back to spectator" to all
CHAT: Dec 26 20:50:43 {name  = "Tuaf_Mr_VaiN", ucid = "a1f17fc34f97be04b6c6310b0ea76d6a", ip = "78.190.224.1:42296", id = 7} said "SLMOD INFO: Player "LTJG Columbus | The State" is getting autokicked back to spectator" to all
CHAT: Dec 26 20:50:43 {name  = "Diaka", ucid = "3ba75f09614982845143ccdde06f5d5a", ip = "88.73.208.40:56206", id = 8} said "SLMOD INFO: Player "LTJG Columbus | The State" is getting autokicked back to spectator" to all
CHAT: Dec 26 20:50:43 {name  = "ernest6030", ucid = "6b62d5c93046094f3e915c076eed3347", ip = "84.214.55.44:49959", id = 9} said "SLMOD INFO: Player "LTJG Columbus | The State" is getting autokicked back to spectator" to all
CHAT: Dec 26 20:50:43 {name  = "Jubbs", ucid = "44fef393b7208d406ac464a929a0726f", ip = "70.172.66.194:57396", id = 10} said "SLMOD INFO: Player "LTJG Columbus | The State" is getting autokicked back to spectator" to all
CHAT: Dec 26 20:50:43 {name  = "Giov", ucid = "237cbac1d7f7d6a49107c6e5165af3d3", ip = "146.241.214.83:12212", id = 11} said "SLMOD INFO: Player "LTJG Columbus | The State" is getting autokicked back to spectator" to all
CHAT: Dec 26 20:50:43 {name  = "Stell90", ucid = "9b2570ff211975a664aae1554cee3558", ip = "176.25.126.23:58367", id = 12} said "SLMOD INFO: Player "LTJG Columbus | The State" is getting autokicked back to spectator" to all
CHAT: Dec 26 20:50:43 {name  = "xiRag3Quitx", ucid = "31c0b6d93b8da6f88cef20429e7e6a14", ip = "72.130.210.245:60361", id = 13} said "SLMOD INFO: Player "LTJG Columbus | The State" is getting autokicked back to spectator" to all
CHAT: Dec 26 20:50:43 {name  = "Ghost", ucid = "7f171c68a757dc3d3f2a39ac3f466efa", ip = "196.50.247.252:64081", id = 14} said "SLMOD INFO: Player "LTJG Columbus | The State" is getting autokicked back to spectator" to all
CHAT: Dec 26 20:50:43 {name  = "Badger", ucid = "832985be4629fa370b27e6a2f0b91f12", ip = "105.244.29.8:50070", id = 15} said "SLMOD INFO: Player "LTJG Columbus | The State" is getting autokicked back to spectator" to all
CHAT: Dec 26 20:50:43 {name  = "sassy", ucid = "deb7fe0db0dc23a454a2b26df3095719", ip = "102.250.6.53:59305", id = 16} said "SLMOD INFO: Player "LTJG Columbus | The State" is getting autokicked back to spectator" to all
CHAT: Dec 26 20:50:43 {name  = "drinkingworm", ucid = "28c50d8dcc874f09a62df8ed6c35ebcf", ip = "68.200.189.126:59702", id = 17} said "SLMOD INFO: Player "LTJG Columbus | The State" is getting autokicked back to spectator" to all
CHAT: Dec 26 20:50:43 {name  = "Krilli", ucid = "b2277d16a77ffb09d14d6ea0c7ebfc4c", ip = "91.64.197.160:61866", id = 18} said "SLMOD INFO: Player "LTJG Columbus | The State" is getting autokicked back to spectator" to all
CHAT: Dec 26 20:50:43 {name  = "CORMAC | ogaruu", ucid = "36822add4ed4d446acb1ca04e5e1e34a", ip = "188.25.7.202:58620", id = 19} said "SLMOD INFO: Player "LTJG Columbus | The State" is getting autokicked back to spectator" to all
CHAT: Dec 26 20:50:43 {name  = "LTJG Columbus | The State", ucid = "e79dc7768623edb83acd6d5e5922e25e", ip = "71.72.242.24:54290", id = 20} said "SLMOD INFO: Player "LTJG Columbus | The State" is getting autokicked back to spectator" to all
CHAT: Dec 26 20:50:43 {name  = "OilRig", ucid = "e01d617b59c4d2deba9bb8d8a300e9f2", ip = "174.112.108.94:50587", id = 21} said "SLMOD INFO: Player "LTJG Columbus | The State" is getting autokicked back to spectator" to all
CHAT: Dec 26 20:50:43 {name  = "PreenDog", ucid = "bce46b4eb57a50043384ba25b4fcc032", ip = "75.155.21.177:56475", id = 22} said "SLMOD INFO: Player "LTJG Columbus | The State" is getting autokicked back to spectator" to all
CHAT: Dec 26 20:50:43 {name  = "RiskyBizkit", ucid = "88e903afb392275ab94b72d9c9d5d6b5", ip = "84.180.133.189:56093", id = 23} said "SLMOD INFO: Player "LTJG Columbus | The State" is getting autokicked back to spectator" to all
CHAT: Dec 26 20:50:43 {name  = "MERICA", ucid = "ac95530194ec59ee6919f9216e433da6", ip = "172.101.193.168:58042", id = 24} said "SLMOD INFO: Player "LTJG Columbus | The State" is getting autokicked back to spectator" to all
CHAT: Dec 26 20:50:43 {name  = "战斗妖精雪风", ucid = "3ded484fc8df2cb68ac8dac704e22c35", ip = "162.14.22.133:13588", id = 25} said "SLMOD INFO: Player "LTJG Columbus | The State" is getting autokicked back to spectator" to all
CHAT: Dec 26 20:50:43 {name  = "[oTp]-Rudi", ucid = "66102b8a1eb79b29418a542b3f9b2019", ip = "79.192.125.193:53444", id = 27} said "SLMOD INFO: Player "LTJG Columbus | The State" is getting autokicked back to spectator" to all
CHAT: Dec 26 20:50:43 {name  = "dino", ucid = "2acf7baefbc147845c9973d21e984f2e", ip = "73.128.195.172:61026", id = 28} said "SLMOD INFO: Player "LTJG Columbus | The State" is getting autokicked back to spectator" to all
CHAT: Dec 26 20:50:43 {name  = "[oTp]-HATCHET", ucid = "7584374a9c092d787e68b551d3161b82", ip = "87.135.198.6:65475", id = 29} said "SLMOD INFO: Player "LTJG Columbus | The State" is getting autokicked back to spectator" to all
CHAT: Dec 26 20:50:43 {name  = "Mave", ucid = "16f3875670a8030881d164dfa51ecf5c", ip = "77.48.225.17:64482", id = 30} said "SLMOD INFO: Player "LTJG Columbus | The State" is getting autokicked back to spectator" to all
CHAT: Dec 26 20:50:43 {name  = "211tamer", ucid = "6ce63e00392b8f8bd3eb8699e736cf58", ip = "95.70.129.110:11114", id = 31} said "SLMOD INFO: Player "LTJG Columbus | The State" is getting autokicked back to spectator" to all
CHAT: Dec 26 20:50:43 {name  = "N@viiid", ucid = "ae56c42558f02d56cac8aa6fd66d2398", ip = "134.93.55.191:65125", id = 32} said "SLMOD INFO: Player "LTJG Columbus | The State" is getting autokicked back to spectator" to all
CHAT: Dec 26 20:52:10 {name  = "xiRag3Quitx", ucid = "31c0b6d93b8da6f88cef20429e7e6a14", ip = "72.130.210.245:60361", id = 13} said "rwy cledar" to all
CHAT: Dec 26 20:52:15 {name  = "xiRag3Quitx", ucid = "31c0b6d93b8da6f88cef20429e7e6a14", ip = "72.130.210.245:60361", id = 13} said "clear*" to all
CHAT: Dec 26 20:52:22 {name  = "OilRig", ucid = "e01d617b59c4d2deba9bb8d8a300e9f2", ip = "174.112.108.94:50587", id = 21} said "ty" to all
CHAT: Dec 26 20:52:24 {name  = "dino", ucid = "2acf7baefbc147845c9973d21e984f2e", ip = "73.128.195.172:61026", id = 28} said "inb gudauta" to all
CHAT: Dec 26 20:52:32 {name  = "kill n joker", ucid = "dd2022278e5590bc75794e5e6aaf600e", ip = "66.27.199.197:49887", id = 6} said "final gudauta" to all
CHAT: Dec 26 20:55:25 {name  = "kill n joker", ucid = "dd2022278e5590bc75794e5e6aaf600e", ip = "66.27.199.197:49887", id = 6} said "gudata rnwy clear" to all
CHAT: Dec 26 20:57:45 {name  = "Tuaf_Mr_VaiN", ucid = "a1f17fc34f97be04b6c6310b0ea76d6a", ip = "78.190.224.1:42296", id = 7} said "nice landing" to all
CHAT: Dec 26 20:58:47 {name  = "xiRag3Quitx", ucid = "31c0b6d93b8da6f88cef20429e7e6a14", ip = "72.130.210.245:60361", id = 13} said "go ahead tauf" to all
TEAM HIT: Dec 26 21:13:13 {players = {1 = {name  = "sassy", ucid = "deb7fe0db0dc23a454a2b26df3095719", ip = "102.250.6.53:59305", id = 16}1 = {name = Ghost with kamikaze
TEAM HIT: Dec 26 21:13:13 {players = {1 = {name  = "sassy", ucid = "deb7fe0db0dc23a454a2b26df3095719", ip = "102.250.6.53:59305", id = 16}1 = {name = Ghost with kamikaze
TEAM HIT: Dec 26 21:13:14 {players = {1 = {name  = "sassy", ucid = "deb7fe0db0dc23a454a2b26df3095719", ip = "102.250.6.53:59305", id = 16}1 = {name = Ghost with kamikaze
TEAM HIT: Dec 26 21:13:14 {players = {1 = {name  = "sassy", ucid = "deb7fe0db0dc23a454a2b26df3095719", ip = "102.250.6.53:59305", id = 16}1 = {name = Ghost with kamikaze
TEAM HIT: Dec 26 21:13:14 {players = {1 = {name  = "sassy", ucid = "deb7fe0db0dc23a454a2b26df3095719", ip = "102.250.6.53:59305", id = 16}1 = {name = Ghost with kamikaze
TEAM HIT: Dec 26 21:13:14 {players = {1 = {name  = "sassy", ucid = "deb7fe0db0dc23a454a2b26df3095719", ip = "102.250.6.53:59305", id = 16}1 = {name = Ghost with kamikaze
TEAM HIT: Dec 26 21:13:15 {players = {1 = {name  = "sassy", ucid = "deb7fe0db0dc23a454a2b26df3095719", ip = "102.250.6.53:59305", id = 16}1 = {name = Ghost with kamikaze
TEAM HIT: Dec 26 21:13:15 {players = {1 = {name  = "sassy", ucid = "deb7fe0db0dc23a454a2b26df3095719", ip = "102.250.6.53:59305", id = 16}1 = {name = Ghost with kamikaze
TEAM HIT: Dec 26 21:13:16 {players = {1 = {name  = "sassy", ucid = "deb7fe0db0dc23a454a2b26df3095719", ip = "102.250.6.53:59305", id = 16}1 = {name = Ghost with kamikaze
TEAM HIT: Dec 26 21:13:21 {players = {1 = {name  = "sassy", ucid = "deb7fe0db0dc23a454a2b26df3095719", ip = "102.250.6.53:59305", id = 16}1 = {name = Ghost with kamikaze
TEAM HIT: Dec 26 21:13:21 {players = {1 = {name  = "Ghost", ucid = "7f171c68a757dc3d3f2a39ac3f466efa", ip = "196.50.247.252:64081", id = 14}1 = {name = sassy with kamikaze
TEAM HIT: Dec 26 21:13:21 {players = {1 = {name  = "sassy", ucid = "deb7fe0db0dc23a454a2b26df3095719", ip = "102.250.6.53:59305", id = 16}1 = {name = Ghost with kamikaze
TEAM HIT: Dec 26 21:13:22 {players = {1 = {name  = "Ghost", ucid = "7f171c68a757dc3d3f2a39ac3f466efa", ip = "196.50.247.252:64081", id = 14}1 = {name = sassy with kamikaze
TEAM HIT: Dec 26 21:13:26 {players = {1 = {name  = "[oTp]-Rudi", ucid = "66102b8a1eb79b29418a542b3f9b2019", ip = "79.192.125.193:53444", id = 27}1 = {name = [oTp]-HATCHET with kamikaze
TEAM HIT: Dec 26 21:13:26 {players = {1 = {name  = "[oTp]-HATCHET", ucid = "7584374a9c092d787e68b551d3161b82", ip = "87.135.198.6:65475", id = 29}1 = {name = [oTp]-Rudi with F/A-18C Lot 20
TEAM HIT: Dec 26 21:13:26 {players = {1 = {name  = "[oTp]-Rudi", ucid = "66102b8a1eb79b29418a542b3f9b2019", ip = "79.192.125.193:53444", id = 27}1 = {name = [oTp]-HATCHET with kamikaze
TEAM HIT: Dec 26 21:13:26 {players = {1 = {name  = "[oTp]-HATCHET", ucid = "7584374a9c092d787e68b551d3161b82", ip = "87.135.198.6:65475", id = 29}1 = {name = [oTp]-Rudi with F/A-18C Lot 20
TEAM KILL: Dec 26 21:13:26 {players = {1 = {name  = "[oTp]-HATCHET", ucid = "7584374a9c092d787e68b551d3161b82", ip = "nil", id = 29}1 = {name = [oTp]-Rudi with F/A-18C Lot 20
TEAM KILL: Dec 26 21:13:27 {players = {1 = {name  = "[oTp]-Rudi", ucid = "66102b8a1eb79b29418a542b3f9b2019", ip = "nil", id = 27}1 = {name = [oTp]-HATCHET with kamikaze
CHAT: Dec 26 21:15:05 {name  = "sassy", ucid = "deb7fe0db0dc23a454a2b26df3095719", ip = "102.250.6.53:59305", id = 16} said "how do i turn gazelle gunsight on again i forgot" to all
CHAT: Dec 26 21:15:25 {name  = "sassy", ucid = "deb7fe0db0dc23a454a2b26df3095719", ip = "102.250.6.53:59305", id = 16} said "nvm" to all
TEAM HIT: Dec 26 21:15:26 {players = {1 = {name  = "N@viiid", ucid = "ae56c42558f02d56cac8aa6fd66d2398", ip = "134.93.55.191:65125", id = 32}1 = {name = 10_THEODORE_CVN71 with kamikaze
CHAT: Dec 26 21:19:27 {name  = "LiquidIce", ucid = "cbee92e628c9d9769d8ddcb384a7a813", ip = "5.69.105.158:64599", id = 31} said "time to bring the pain" to all
TEAM KILL: Dec 26 21:19:46 {players = {1 = {name  = "sassy", ucid = "deb7fe0db0dc23a454a2b26df3095719", ip = "nil", id = 16}1 = {name = Ghost with kamikaze
CHAT: Dec 26 21:19:48 {name  = "Brazov 1-1 | Lince", ucid = "3aeedc017c0688d258fc97682155ccba", ip = "51.171.196.68:60289", id = 2} said "-stats me" to all (output suppressed by Slmod)
CHAT: Dec 26 21:22:34 {name  = "dino", ucid = "2acf7baefbc147845c9973d21e984f2e", ip = "73.128.195.172:61351", id = 19} said "oooooooofavorite time" to all
CHAT: Dec 26 21:24:50 {name  = "Karoluukas", ucid = "58dec7f1cb4f3f27019345d483f383cf", ip = "84.15.188.97:39270", id = 9} said "TrackIR is op" to all
CHAT: Dec 26 21:24:58 {name  = "LiquidIce", ucid = "cbee92e628c9d9769d8ddcb384a7a813", ip = "5.69.105.158:64641", id = 8} said "TU22 heavy packing 57 X RBK 500s clustesrs.. looking for CAP escort on clean up duty" to all
CHAT: Dec 26 21:26:59 {name  = "KLM", ucid = "86e01a85597090e0e9b2f51cb1f50cb5", ip = "176.249.15.253:64688", id = 13} said "f14 behind you coming" to all
CHAT: Dec 26 21:27:01 {name  = "sassy", ucid = "deb7fe0db0dc23a454a2b26df3095719", ip = "102.250.6.53:59305", id = 16} said "looking for good handjobs" to all
CHAT: Dec 26 21:27:43 {name  = "KLM", ucid = "86e01a85597090e0e9b2f51cb1f50cb5", ip = "176.249.15.253:64688", id = 13} said "happy to escort you" to all
CHAT: Dec 26 21:27:48 {name  = "LiquidIce", ucid = "cbee92e628c9d9769d8ddcb384a7a813", ip = "5.69.105.158:64641", id = 8} said "rgr" to all
CHAT: Dec 26 21:28:43 {name  = "dino", ucid = "2acf7baefbc147845c9973d21e984f2e", ip = "73.128.195.172:61351", id = 19} said "nice" to all
CHAT: Dec 26 21:29:29 {name  = "dino", ucid = "2acf7baefbc147845c9973d21e984f2e", ip = "73.128.195.172:61351", id = 19} said "nothin like an a10 pulling out infront of u going 150 downthe rwy" to all
CHAT: Dec 26 21:29:44 {name  = "sassy", ucid = "deb7fe0db0dc23a454a2b26df3095719", ip = "102.250.6.53:59305", id = 16} said "ah nice night" to all
CHAT: Dec 26 21:29:48 {name  = "sassy", ucid = "deb7fe0db0dc23a454a2b26df3095719", ip = "102.250.6.53:59305", id = 16} said "or early morning" to all
CHAT: Dec 26 21:33:43 {name  = "LiquidIce", ucid = "cbee92e628c9d9769d8ddcb384a7a813", ip = "5.69.105.158:64641", id = 8} said "heavy mama today.. climbing out slow" to all
CHAT: Dec 26 21:33:54 {name  = "KLM", ucid = "86e01a85597090e0e9b2f51cb1f50cb5", ip = "176.249.15.253:64688", id = 13} said "no worries" to all
CHAT: Dec 26 21:34:08 {name  = "KLM", ucid = "86e01a85597090e0e9b2f51cb1f50cb5", ip = "176.249.15.253:64688", id = 13} said "not expert here xD" to all
CHAT: Dec 26 21:34:14 {name  = "LiquidIce", ucid = "cbee92e628c9d9769d8ddcb384a7a813", ip = "5.69.105.158:64641", id = 8} said "57 x 500 kgs.. and max fuel .. ouf... go mama" to all
CHAT: Dec 26 21:34:52 {name  = "LiquidIce", ucid = "cbee92e628c9d9769d8ddcb384a7a813", ip = "5.69.105.158:64641", id = 8} said "dino u balls deep already bro" to all
CHAT: Dec 26 21:35:40 {name  = "LiquidIce", ucid = "cbee92e628c9d9769d8ddcb384a7a813", ip = "5.69.105.158:64641", id = 8} said "RAIN BABY RAINN THOSE CBUs" to all
CHAT: Dec 26 21:36:00 {name  = "dino", ucid = "2acf7baefbc147845c9973d21e984f2e", ip = "73.128.195.172:61351", id = 19} said "yeehaw" to all
CHAT: Dec 26 21:36:33 {name  = "LiquidIce", ucid = "cbee92e628c9d9769d8ddcb384a7a813", ip = "5.69.105.158:64641", id = 8} said "x mas" to all
CHAT: Dec 26 21:37:02 {name  = "LiquidIce", ucid = "cbee92e628c9d9769d8ddcb384a7a813", ip = "5.69.105.158:64641", id = 8} said "my turn on a small group watch" to all
CHAT: Dec 26 21:37:07 {name  = "dino", ucid = "2acf7baefbc147845c9973d21e984f2e", ip = "73.128.195.172:61351", id = 19} said "perfect time of day for this" to all
