CHAT: Mar 30 20:36:20 {name  = "Struger", ucid = "ee180fcf62694aee2422d4c2541f901b", ip = "83.11.187.100:60595", id = 3} said "it kicked me off wtf" to all
TEAM KILL: Mar 30 21:39:56 {players = {1 = {name  = "Brappa1000", ucid = "5b46703ac8fb7dd68999df89aeacd6c5", ip = "nil", id = 6}1 = {name = Ram 1-2 Bigman with kamikaze
CHAT: Mar 30 21:40:15 {name  = "DeltaJuliet20", ucid = "07f217c5bb8ab97cb45e07a8dff43c70", ip = "94.194.86.2:65451", id = 2} said "SLMOD INFO: Player "Ram 1-2 Bigman" is getting autokicked." to all
CHAT: Mar 30 21:40:15 {name  = "ZuluDelta111", ucid = "2f06e1ffcf2e7fa141fd5f1802befc89", ip = "90.217.125.182:31881", id = 3} said "SLMOD INFO: Player "Ram 1-2 Bigman" is getting autokicked." to all
CHAT: Mar 30 21:40:15 {name  = "Ram 1-2 Bigman", ucid = "f8fae6e12a9d4a19660bd9178ef61245", ip = "83.252.128.230:54922", id = 4} said "SLMOD INFO: Player "Ram 1-2 Bigman" is getting autokicked." to all
CHAT: Mar 30 21:40:15 {name  = "Pydo_02", ucid = "e71cb956dc74ab541bfdd1de6bf5d424", ip = "84.90.97.239:54655", id = 5} said "SLMOD INFO: Player "Ram 1-2 Bigman" is getting autokicked." to all
CHAT: Mar 30 21:40:15 {name  = "Brappa1000", ucid = "5b46703ac8fb7dd68999df89aeacd6c5", ip = "98.128.181.47:63113", id = 6} said "SLMOD INFO: Player "Ram 1-2 Bigman" is getting autokicked." to all
CHAT: Mar 30 21:40:15 {name  = "Gold 5", ucid = "0b572bcf9b82e8ef1578335ab9d848d7", ip = "162.232.216.156:54483", id = 7} said "SLMOD INFO: Player "Ram 1-2 Bigman" is getting autokicked." to all
CHAT: Mar 30 21:40:15 {name  = "Greyhound 1-1 | Apollo", ucid = "6d7a749edef2f54737d29633ea341f85", ip = "68.57.209.207:60985", id = 8} said "SLMOD INFO: Player "Ram 1-2 Bigman" is getting autokicked." to all
CHAT: Mar 30 21:40:15 {name  = "MCadJO", ucid = "7f0cc38c23bbf8ef3ff3bab9783e1468", ip = "81.93.67.20:49830", id = 9} said "SLMOD INFO: Player "Ram 1-2 Bigman" is getting autokicked." to all
CHAT: Mar 30 21:40:15 {name  = "CoastOut", ucid = "b9599920cae6a047a762930bf9011a91", ip = "99.62.187.223:57910", id = 10} said "SLMOD INFO: Player "Ram 1-2 Bigman" is getting autokicked." to all
CHAT: Mar 30 21:40:15 {name  = "sunibull", ucid = "63ff3dfec6ae0c9bdc4c09fd09aa8795", ip = "90.24.89.35:64293", id = 11} said "SLMOD INFO: Player "Ram 1-2 Bigman" is getting autokicked." to all
CHAT: Mar 30 21:40:15 {name  = "Orion", ucid = "48dac0303c4b7cd5c8dc36fccdc82c84", ip = "83.24.54.243:49385", id = 12} said "SLMOD INFO: Player "Ram 1-2 Bigman" is getting autokicked." to all
CHAT: Mar 30 21:40:15 {name  = "ZED", ucid = "e0e286573270c7d7bf7cda4f21e1bb47", ip = "91.169.213.98:55625", id = 13} said "SLMOD INFO: Player "Ram 1-2 Bigman" is getting autokicked." to all
CHAT: Mar 30 21:40:27 {name  = "DeltaJuliet20", ucid = "07f217c5bb8ab97cb45e07a8dff43c70", ip = "94.194.86.2:65451", id = 2} said "SLMOD INFO: Player "Brappa1000" is getting autokicked." to all
CHAT: Mar 30 21:40:27 {name  = "ZuluDelta111", ucid = "2f06e1ffcf2e7fa141fd5f1802befc89", ip = "90.217.125.182:31881", id = 3} said "SLMOD INFO: Player "Brappa1000" is getting autokicked." to all
CHAT: Mar 30 21:40:27 {name  = "Pydo_02", ucid = "e71cb956dc74ab541bfdd1de6bf5d424", ip = "84.90.97.239:54655", id = 5} said "SLMOD INFO: Player "Brappa1000" is getting autokicked." to all
CHAT: Mar 30 21:40:27 {name  = "Brappa1000", ucid = "5b46703ac8fb7dd68999df89aeacd6c5", ip = "98.128.181.47:63113", id = 6} said "SLMOD INFO: Player "Brappa1000" is getting autokicked." to all
CHAT: Mar 30 21:40:27 {name  = "Gold 5", ucid = "0b572bcf9b82e8ef1578335ab9d848d7", ip = "162.232.216.156:54483", id = 7} said "SLMOD INFO: Player "Brappa1000" is getting autokicked." to all
CHAT: Mar 30 21:40:27 {name  = "Greyhound 1-1 | Apollo", ucid = "6d7a749edef2f54737d29633ea341f85", ip = "68.57.209.207:60985", id = 8} said "SLMOD INFO: Player "Brappa1000" is getting autokicked." to all
CHAT: Mar 30 21:40:27 {name  = "MCadJO", ucid = "7f0cc38c23bbf8ef3ff3bab9783e1468", ip = "81.93.67.20:49830", id = 9} said "SLMOD INFO: Player "Brappa1000" is getting autokicked." to all
CHAT: Mar 30 21:40:27 {name  = "CoastOut", ucid = "b9599920cae6a047a762930bf9011a91", ip = "99.62.187.223:57910", id = 10} said "SLMOD INFO: Player "Brappa1000" is getting autokicked." to all
CHAT: Mar 30 21:40:27 {name  = "sunibull", ucid = "63ff3dfec6ae0c9bdc4c09fd09aa8795", ip = "90.24.89.35:64293", id = 11} said "SLMOD INFO: Player "Brappa1000" is getting autokicked." to all
CHAT: Mar 30 21:40:27 {name  = "Orion", ucid = "48dac0303c4b7cd5c8dc36fccdc82c84", ip = "83.24.54.243:49385", id = 12} said "SLMOD INFO: Player "Brappa1000" is getting autokicked." to all
CHAT: Mar 30 21:40:27 {name  = "ZED", ucid = "e0e286573270c7d7bf7cda4f21e1bb47", ip = "91.169.213.98:55625", id = 13} said "SLMOD INFO: Player "Brappa1000" is getting autokicked." to all
CHAT: Mar 30 21:40:27 {name  = "Greyhound 1-1 | Apollo", ucid = "6d7a749edef2f54737d29633ea341f85", ip = "68.57.209.207:60985", id = 8} said "not fair." to all
CHAT: Mar 30 21:40:32 {name  = "Greyhound 1-1 | Apollo", ucid = "6d7a749edef2f54737d29633ea341f85", ip = "68.57.209.207:60985", id = 8} said "he did nothing" to all
TEAM HIT: Mar 30 21:47:01 {players = {1 = {name  = "Brappa1000", ucid = "5b46703ac8fb7dd68999df89aeacd6c5", ip = "98.128.181.47:61305", id = 6}1 = {name = New Static Object #009 with kamikaze
TEAM HIT: Mar 30 21:47:01 {players = {1 = {name  = "Brappa1000", ucid = "5b46703ac8fb7dd68999df89aeacd6c5", ip = "98.128.181.47:61305", id = 6}1 = {name = New Static Object #008 with kamikaze
TEAM KILL: Mar 30 21:47:03 {players = {1 = {name  = "Brappa1000", ucid = "5b46703ac8fb7dd68999df89aeacd6c5", ip = "nil", id = 6}1 = {name = New Static Object #008 with kamikaze
CHAT: Mar 30 21:47:03 {name  = "DeltaJuliet20", ucid = "07f217c5bb8ab97cb45e07a8dff43c70", ip = "94.194.86.2:65451", id = 2} said "SLMOD INFO: Player "Brappa1000" is getting autokicked." to all
CHAT: Mar 30 21:47:03 {name  = "ZuluDelta111", ucid = "2f06e1ffcf2e7fa141fd5f1802befc89", ip = "90.217.125.182:31881", id = 3} said "SLMOD INFO: Player "Brappa1000" is getting autokicked." to all
CHAT: Mar 30 21:47:03 {name  = "Ram 1-2 Bigman", ucid = "f8fae6e12a9d4a19660bd9178ef61245", ip = "83.252.128.230:54982", id = 4} said "SLMOD INFO: Player "Brappa1000" is getting autokicked." to all
CHAT: Mar 30 21:47:03 {name  = "Pydo_02", ucid = "e71cb956dc74ab541bfdd1de6bf5d424", ip = "84.90.97.239:54655", id = 5} said "SLMOD INFO: Player "Brappa1000" is getting autokicked." to all
CHAT: Mar 30 21:47:03 {name  = "Brappa1000", ucid = "5b46703ac8fb7dd68999df89aeacd6c5", ip = "98.128.181.47:61305", id = 6} said "SLMOD INFO: Player "Brappa1000" is getting autokicked." to all
CHAT: Mar 30 21:47:03 {name  = "Gold 5", ucid = "0b572bcf9b82e8ef1578335ab9d848d7", ip = "162.232.216.156:54483", id = 7} said "SLMOD INFO: Player "Brappa1000" is getting autokicked." to all
CHAT: Mar 30 21:47:03 {name  = "Greyhound 1-1 | Apollo", ucid = "6d7a749edef2f54737d29633ea341f85", ip = "68.57.209.207:60985", id = 8} said "SLMOD INFO: Player "Brappa1000" is getting autokicked." to all
CHAT: Mar 30 21:47:03 {name  = "MCadJO", ucid = "7f0cc38c23bbf8ef3ff3bab9783e1468", ip = "81.93.67.20:49830", id = 9} said "SLMOD INFO: Player "Brappa1000" is getting autokicked." to all
CHAT: Mar 30 21:47:03 {name  = "CoastOut", ucid = "b9599920cae6a047a762930bf9011a91", ip = "99.62.187.223:57910", id = 10} said "SLMOD INFO: Player "Brappa1000" is getting autokicked." to all
CHAT: Mar 30 21:47:03 {name  = "sunibull", ucid = "63ff3dfec6ae0c9bdc4c09fd09aa8795", ip = "90.24.89.35:64293", id = 11} said "SLMOD INFO: Player "Brappa1000" is getting autokicked." to all
CHAT: Mar 30 21:47:03 {name  = "Orion", ucid = "48dac0303c4b7cd5c8dc36fccdc82c84", ip = "83.24.54.243:49385", id = 12} said "SLMOD INFO: Player "Brappa1000" is getting autokicked." to all
CHAT: Mar 30 21:47:03 {name  = "ZED", ucid = "e0e286573270c7d7bf7cda4f21e1bb47", ip = "91.169.213.98:55625", id = 13} said "SLMOD INFO: Player "Brappa1000" is getting autokicked." to all
CHAT: Mar 30 21:47:03 {name  = "Greyhound 1-2 Joker", ucid = "456ff2e0db879a0cb3bf37eedd026f94", ip = "99.59.135.102:61530", id = 14} said "SLMOD INFO: Player "Brappa1000" is getting autokicked." to all
TEAM KILL: Mar 30 21:47:03 {players = {1 = {name  = "Brappa1000", ucid = "5b46703ac8fb7dd68999df89aeacd6c5", ip = "nil", id = 6}1 = {name = New Static Object #009 with kamikaze
CHAT: Mar 30 21:47:03 {name  = "DeltaJuliet20", ucid = "07f217c5bb8ab97cb45e07a8dff43c70", ip = "94.194.86.2:65451", id = 2} said "SLMOD INFO: Player "Brappa1000" is getting autokicked." to all
CHAT: Mar 30 21:47:03 {name  = "ZuluDelta111", ucid = "2f06e1ffcf2e7fa141fd5f1802befc89", ip = "90.217.125.182:31881", id = 3} said "SLMOD INFO: Player "Brappa1000" is getting autokicked." to all
CHAT: Mar 30 21:47:03 {name  = "Ram 1-2 Bigman", ucid = "f8fae6e12a9d4a19660bd9178ef61245", ip = "83.252.128.230:54982", id = 4} said "SLMOD INFO: Player "Brappa1000" is getting autokicked." to all
CHAT: Mar 30 21:47:03 {name  = "Pydo_02", ucid = "e71cb956dc74ab541bfdd1de6bf5d424", ip = "84.90.97.239:54655", id = 5} said "SLMOD INFO: Player "Brappa1000" is getting autokicked." to all
CHAT: Mar 30 21:47:03 {name  = "Brappa1000", ucid = "5b46703ac8fb7dd68999df89aeacd6c5", ip = "98.128.181.47:61305", id = 6} said "SLMOD INFO: Player "Brappa1000" is getting autokicked." to all
CHAT: Mar 30 21:47:03 {name  = "Gold 5", ucid = "0b572bcf9b82e8ef1578335ab9d848d7", ip = "162.232.216.156:54483", id = 7} said "SLMOD INFO: Player "Brappa1000" is getting autokicked." to all
CHAT: Mar 30 21:47:03 {name  = "Greyhound 1-1 | Apollo", ucid = "6d7a749edef2f54737d29633ea341f85", ip = "68.57.209.207:60985", id = 8} said "SLMOD INFO: Player "Brappa1000" is getting autokicked." to all
CHAT: Mar 30 21:47:03 {name  = "MCadJO", ucid = "7f0cc38c23bbf8ef3ff3bab9783e1468", ip = "81.93.67.20:49830", id = 9} said "SLMOD INFO: Player "Brappa1000" is getting autokicked." to all
CHAT: Mar 30 21:47:03 {name  = "CoastOut", ucid = "b9599920cae6a047a762930bf9011a91", ip = "99.62.187.223:57910", id = 10} said "SLMOD INFO: Player "Brappa1000" is getting autokicked." to all
CHAT: Mar 30 21:47:03 {name  = "sunibull", ucid = "63ff3dfec6ae0c9bdc4c09fd09aa8795", ip = "90.24.89.35:64293", id = 11} said "SLMOD INFO: Player "Brappa1000" is getting autokicked." to all
CHAT: Mar 30 21:47:03 {name  = "Orion", ucid = "48dac0303c4b7cd5c8dc36fccdc82c84", ip = "83.24.54.243:49385", id = 12} said "SLMOD INFO: Player "Brappa1000" is getting autokicked." to all
CHAT: Mar 30 21:47:03 {name  = "ZED", ucid = "e0e286573270c7d7bf7cda4f21e1bb47", ip = "91.169.213.98:55625", id = 13} said "SLMOD INFO: Player "Brappa1000" is getting autokicked." to all
CHAT: Mar 30 21:47:03 {name  = "Greyhound 1-2 Joker", ucid = "456ff2e0db879a0cb3bf37eedd026f94", ip = "99.59.135.102:61530", id = 14} said "SLMOD INFO: Player "Brappa1000" is getting autokicked." to all
CHAT: Mar 30 21:54:01 {name  = "Gold 5", ucid = "0b572bcf9b82e8ef1578335ab9d848d7", ip = "162.232.216.156:54483", id = 7} said "nice evade greyhound" to all
CHAT: Mar 30 21:56:44 {name  = "Greyhound 1-1 | Apollo", ucid = "6d7a749edef2f54737d29633ea341f85", ip = "68.57.209.207:60985", id = 8} said "thanks" to all
TEAM HIT: Mar 30 22:12:30 {players = {1 = {name  = "Omega One", ucid = "a8ad230e98fbf9796dabd14606b6874a", ip = "100.18.37.32:63834", id = 12}1 = {name = NORTH_CVN_2 with kamikaze
TEAM HIT: Mar 30 22:32:42 {players = {1 = {name  = "Feniks_05", ucid = "8eabc4ea37397fafc0c32c68e8b10364", ip = "95.249.244.98:57518", id = 17}1 = {name = MCadJO with R-33 (AA-9 Amos)
TEAM KILL: Mar 30 22:32:56 {players = {1 = {name  = "Feniks_05", ucid = "8eabc4ea37397fafc0c32c68e8b10364", ip = "nil", id = 17}1 = {name = MCadJO with R-33 (AA-9 Amos)
CHAT: Mar 30 22:40:42 {name  = "Feniks_05", ucid = "8eabc4ea37397fafc0c32c68e8b10364", ip = "95.249.244.98:57518", id = 17} said "SORRY FOR THE FRIENDELY KILL" to all
CHAT: Mar 30 22:41:14 {name  = "MCadJO", ucid = "7f0cc38c23bbf8ef3ff3bab9783e1468", ip = "81.93.67.20:49830", id = 9} said "np ;)" to all
CHAT: Mar 30 22:41:34 {name  = "Foxtrot 420 | Bones", ucid = "e83005bb7d420bc1db630b5b0148cb27", ip = "109.130.237.254:62009", id = 18} said "im so bad at this sim" to all
CHAT: Mar 30 22:41:38 {name  = "Foxtrot 420 | Bones", ucid = "e83005bb7d420bc1db630b5b0148cb27", ip = "109.130.237.254:62009", id = 18} said ":/" to all
CHAT: Mar 30 23:21:22 {name  = "nibby 1-1", ucid = "21ef5bc0e8dbc03efcb413a39d3b52d5", ip = "67.160.214.44:60787", id = 15} said "tomcat" to all
CHAT: Mar 30 23:21:26 {name  = "Gold 5", ucid = "0b572bcf9b82e8ef1578335ab9d848d7", ip = "162.232.216.156:54483", id = 7} said "headed maykop" to all
CHAT: Mar 30 23:21:34 {name  = "nibby 1-1", ucid = "21ef5bc0e8dbc03efcb413a39d3b52d5", ip = "67.160.214.44:60787", id = 15} said "your phoenix almost hit the A10 landing btw" to all
CHAT: Mar 30 23:21:47 {name  = "nibby 1-1", ucid = "21ef5bc0e8dbc03efcb413a39d3b52d5", ip = "67.160.214.44:60787", id = 15} said "bishop i think" to all
CHAT: Mar 30 23:22:27 {name  = "Gold 5", ucid = "0b572bcf9b82e8ef1578335ab9d848d7", ip = "162.232.216.156:54483", id = 7} said "great cap bishop" to all
CHAT: Mar 30 23:22:46 {name  = "nibby 1-1", ucid = "21ef5bc0e8dbc03efcb413a39d3b52d5", ip = "67.160.214.44:60787", id = 15} said "yeah great cap almost hitting a damaged landing A10" to all
CHAT: Mar 30 23:23:07 {name  = "Gold 5", ucid = "0b572bcf9b82e8ef1578335ab9d848d7", ip = "162.232.216.156:54483", id = 7} said "he launched at flankers" to all
CHAT: Mar 30 23:23:34 {name  = "nibby 1-1", ucid = "21ef5bc0e8dbc03efcb413a39d3b52d5", ip = "67.160.214.44:60787", id = 15} said "well one of the tomcats (i think bishop cuz he was the closest) launched a phoenix at the A10" to all
CHAT: Mar 30 23:23:50 {name  = "nibby 1-1", ucid = "21ef5bc0e8dbc03efcb413a39d3b52d5", ip = "67.160.214.44:60787", id = 15} said "coulda be the other one but i suspect bishop" to all
CHAT: Mar 30 23:23:56 {name  = "Gold 5", ucid = "0b572bcf9b82e8ef1578335ab9d848d7", ip = "162.232.216.156:54483", id = 7} said "not on purpose" to all
CHAT: Mar 30 23:25:13 {name  = "Gold 5", ucid = "0b572bcf9b82e8ef1578335ab9d848d7", ip = "162.232.216.156:54483", id = 7} said "he was in a furball nibby. no biggie" to all
CHAT: Mar 30 23:25:38 {name  = "nibby 1-1", ucid = "21ef5bc0e8dbc03efcb413a39d3b52d5", ip = "67.160.214.44:60787", id = 15} said "A10 was over the airfield, landing." to all
CHAT: Mar 30 23:25:47 {name  = "nibby 1-1", ucid = "21ef5bc0e8dbc03efcb413a39d3b52d5", ip = "67.160.214.44:60787", id = 15} said "a slow aircraft over a friendly airfield" to all
CHAT: Mar 30 23:26:09 {name  = "Gold 5", ucid = "0b572bcf9b82e8ef1578335ab9d848d7", ip = "162.232.216.156:54483", id = 7} said "phoenixes can relock.relax" to all
CHAT: Mar 30 23:26:41 {name  = "nibby 1-1", ucid = "21ef5bc0e8dbc03efcb413a39d3b52d5", ip = "67.160.214.44:60787", id = 15} said "ik" to all
CHAT: Mar 30 23:27:10 {name  = "nibby 1-1", ucid = "21ef5bc0e8dbc03efcb413a39d3b52d5", ip = "67.160.214.44:60787", id = 15} said "but it isnt about it re locking or not" to all
CHAT: Mar 30 23:27:19 {name  = "nibby 1-1", ucid = "21ef5bc0e8dbc03efcb413a39d3b52d5", ip = "67.160.214.44:60787", id = 15} said "its about it being fired in the first place" to all
CHAT: Mar 30 23:27:51 {name  = "Gold 5", ucid = "0b572bcf9b82e8ef1578335ab9d848d7", ip = "162.232.216.156:54483", id = 7} said "rgr" to all
CHAT: Mar 30 23:28:34 {name  = "Gold 5", ucid = "0b572bcf9b82e8ef1578335ab9d848d7", ip = "162.232.216.156:54483", id = 7} said "it wasnt on purpose all im saying" to all
TEAM HIT: Mar 30 23:54:36 {players = {1 = {name  = "Dema", ucid = "006746920d2ab53a5794cfe3916d00ce", ip = "94.187.1.107:8834", id = 3}1 = {name = Dwayne with kamikaze
TEAM KILL: Mar 30 23:59:49 {players = {1 = {name  = "Dema", ucid = "006746920d2ab53a5794cfe3916d00ce", ip = "nil", id = 3}1 = {name = Dwayne with kamikaze
TEAM HIT: Mar 31 00:04:00 {players = {1 = {name  = "Dwayne", ucid = "143f6a25964db49651496e54ff8aadfb", ip = "80.113.177.158:57099", id = 5}1 = {name = Dema with kamikaze
TEAM HIT: Mar 31 00:04:00 {players = {1 = {name  = "Dema", ucid = "006746920d2ab53a5794cfe3916d00ce", ip = "94.187.1.107:8834", id = 3}1 = {name = Dwayne with kamikaze
TEAM HIT: Mar 31 00:04:01 {players = {1 = {name  = "Dema", ucid = "006746920d2ab53a5794cfe3916d00ce", ip = "94.187.1.107:8834", id = 3}1 = {name = Dwayne with kamikaze
TEAM HIT: Mar 31 00:04:01 {players = {1 = {name  = "Dwayne", ucid = "143f6a25964db49651496e54ff8aadfb", ip = "80.113.177.158:57099", id = 5}1 = {name = Dema with kamikaze
CHAT: Mar 31 00:04:10 {name  = "Gold 5", ucid = "0b572bcf9b82e8ef1578335ab9d848d7", ip = "162.232.216.156:54483", id = 7} said "gg guys" to all
TEAM KILL: Mar 31 00:04:15 {players = {1 = {name  = "Dwayne", ucid = "143f6a25964db49651496e54ff8aadfb", ip = "nil", id = 5}1 = {name = Dema with kamikaze
TEAM HIT: Mar 31 00:04:15 {players = {1 = {name  = "Dema", ucid = "006746920d2ab53a5794cfe3916d00ce", ip = "94.187.1.107:8834", id = 3}1 = {name = Dwayne with kamikaze
TEAM KILL: Mar 31 00:04:23 {players = {1 = {name  = "Dema", ucid = "006746920d2ab53a5794cfe3916d00ce", ip = "nil", id = 3}1 = {name = Dwayne with kamikaze
TEAM HIT: Mar 31 00:04:23 {players = {1 = {name  = "Dwayne", ucid = "143f6a25964db49651496e54ff8aadfb", ip = "80.113.177.158:57099", id = 5}1 = {name = Dema with kamikaze
TEAM HIT: Mar 31 00:04:45 {players = {1 = {name  = "Dwayne", ucid = "143f6a25964db49651496e54ff8aadfb", ip = "80.113.177.158:57099", id = 5}1 = {name = Dema with kamikaze
TEAM HIT: Mar 31 00:06:37 {players = {1 = {name  = "Dwayne", ucid = "143f6a25964db49651496e54ff8aadfb", ip = "80.113.177.158:57099", id = 5}1 = {name = Dema with kamikaze
TEAM HIT: Mar 31 00:06:37 {players = {1 = {name  = "Dema", ucid = "006746920d2ab53a5794cfe3916d00ce", ip = "94.187.1.107:8834", id = 3}1 = {name = Dwayne with kamikaze
TEAM KILL: Mar 31 00:06:37 {players = {1 = {name  = "Dema", ucid = "006746920d2ab53a5794cfe3916d00ce", ip = "nil", id = 3}1 = {name = Dwayne with kamikaze
TEAM KILL: Mar 31 00:06:37 {players = {1 = {name  = "Dwayne", ucid = "143f6a25964db49651496e54ff8aadfb", ip = "nil", id = 5}1 = {name = Dema with kamikaze
CHAT: Mar 31 00:07:08 {name  = "Dema", ucid = "006746920d2ab53a5794cfe3916d00ce", ip = "94.187.1.107:8834", id = 3} said "SLMOD INFO: Player "Dema" is getting autokicked back to spectator" to all
CHAT: Mar 31 00:07:08 {name  = "Tony8551", ucid = "2c522b6cb1a387b77d5acfd25f2bd4cd", ip = "73.17.43.45:64173", id = 4} said "SLMOD INFO: Player "Dema" is getting autokicked back to spectator" to all
CHAT: Mar 31 00:07:08 {name  = "Dwayne", ucid = "143f6a25964db49651496e54ff8aadfb", ip = "80.113.177.158:57099", id = 5} said "SLMOD INFO: Player "Dema" is getting autokicked back to spectator" to all
CHAT: Mar 31 00:07:08 {name  = "Striker 1-1 │ Reado", ucid = "67e9e7a84eddde588fd3bc0ead161809", ip = "109.158.186.128:57405", id = 6} said "SLMOD INFO: Player "Dema" is getting autokicked back to spectator" to all
CHAT: Mar 31 00:07:08 {name  = "Greyhound 1-1 | Apollo", ucid = "6d7a749edef2f54737d29633ea341f85", ip = "68.57.209.207:60985", id = 8} said "SLMOD INFO: Player "Dema" is getting autokicked back to spectator" to all
CHAT: Mar 31 00:07:08 {name  = "MCadJO", ucid = "7f0cc38c23bbf8ef3ff3bab9783e1468", ip = "81.93.67.20:49830", id = 9} said "SLMOD INFO: Player "Dema" is getting autokicked back to spectator" to all
CHAT: Mar 31 00:07:08 {name  = "Cats 1-1", ucid = "865ce2b9ad0c6c651564462555860e18", ip = "73.189.147.241:56037", id = 10} said "SLMOD INFO: Player "Dema" is getting autokicked back to spectator" to all
CHAT: Mar 31 00:07:08 {name  = "sunibull", ucid = "63ff3dfec6ae0c9bdc4c09fd09aa8795", ip = "90.24.89.35:64293", id = 11} said "SLMOD INFO: Player "Dema" is getting autokicked back to spectator" to all
CHAT: Mar 31 00:07:08 {name  = "Omega One", ucid = "a8ad230e98fbf9796dabd14606b6874a", ip = "100.18.37.32:63834", id = 12} said "SLMOD INFO: Player "Dema" is getting autokicked back to spectator" to all
CHAT: Mar 31 00:07:08 {name  = "Striker 2-1│ DingDong", ucid = "a744aa6ca99d1bf9325adb393b72b9b5", ip = "86.138.172.35:54847", id = 13} said "SLMOD INFO: Player "Dema" is getting autokicked back to spectator" to all
CHAT: Mar 31 00:07:08 {name  = "blablacz156", ucid = "5b84f370791e05133936f997378ba48f", ip = "46.13.47.229:61658", id = 14} said "SLMOD INFO: Player "Dema" is getting autokicked back to spectator" to all
CHAT: Mar 31 00:07:08 {name  = "nibby 1-1", ucid = "21ef5bc0e8dbc03efcb413a39d3b52d5", ip = "67.160.214.44:60787", id = 15} said "SLMOD INFO: Player "Dema" is getting autokicked back to spectator" to all
CHAT: Mar 31 00:07:08 {name  = "Phil McFlurry", ucid = "3728a4087777dd083003c0c4ff37a030", ip = "92.141.164.197:61151", id = 16} said "SLMOD INFO: Player "Dema" is getting autokicked back to spectator" to all
CHAT: Mar 31 00:07:08 {name  = "Bishop", ucid = "cc250861eec6e00ac75452f84d0f3006", ip = "46.196.68.153:61364", id = 17} said "SLMOD INFO: Player "Dema" is getting autokicked back to spectator" to all
CHAT: Mar 31 00:07:08 {name  = "Ambush", ucid = "745216b26e806bd4b9457e84df03e134", ip = "68.132.14.177:54326", id = 18} said "SLMOD INFO: Player "Dema" is getting autokicked back to spectator" to all
CHAT: Mar 31 00:07:08 {name  = "OG FROG", ucid = "a982403a6d16b6c781282b00c0c24018", ip = "50.21.196.12:57414", id = 19} said "SLMOD INFO: Player "Dema" is getting autokicked back to spectator" to all
CHAT: Mar 31 00:07:08 {name  = "Striker 1-2 │ EU4N", ucid = "5dd98bc39c2ee9d970aadb84a2448e49", ip = "82.45.112.58:59976", id = 20} said "SLMOD INFO: Player "Dema" is getting autokicked back to spectator" to all
CHAT: Mar 31 00:07:08 {name  = "CRAVEN 1-2 | Dokk", ucid = "11be44ac6475e9a04f77d448f0c59573", ip = "83.95.178.135:54073", id = 22} said "SLMOD INFO: Player "Dema" is getting autokicked back to spectator" to all
