CHAT: Apr 18 06:54:07 {name  = "AstroWing", ucid = "e58d630cb197508be8faf521b0e12c9a", ip = "173.238.165.166:49867", id = 7} said "game crashed lol" to all
CHAT: Apr 18 08:20:47 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "but again" to all
CHAT: Apr 18 08:20:52 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "i like the 14 for other reasons" to all
CHAT: Apr 18 08:21:00 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "nostalgia it turns well once you get it" to all
CHAT: Apr 18 08:21:02 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "it flies nice" to all
CHAT: Apr 18 08:21:11 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "its payload is fucking beastly" to all
CHAT: Apr 18 08:21:16 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "it can go far" to all
CHAT: Apr 18 08:21:21 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "but it has a lot of age limitations" to all
CHAT: Apr 18 08:21:24 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "the HUD for example" to all
CHAT: Apr 18 08:21:33 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "imagine if it had the 16's hud? and Helmet bore sight targeting?" to all
CHAT: Apr 18 08:21:39 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "or the aim 9 depress lock?" to all
CHAT: Apr 18 08:21:44 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "]holy fuck it'd be unstopable" to all
CHAT: Apr 18 08:25:36 {name  = "Hya6", ucid = "e74dc66df906a94f3cdc531a76a6411f", ip = "86.108.60.222:3123", id = 6} said "You probably more professional than me but why dont you stay at 40k altitude and shoot em pheonixes" to all
CHAT: Apr 18 08:25:50 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "oh im not professional with the 14" to all
CHAT: Apr 18 08:25:56 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "truthfully i got like 10 hours in this frame" to all
CHAT: Apr 18 08:26:02 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "vs the 160+ in the 16" to all
CHAT: Apr 18 08:26:07 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "i could easily take 6 v 1" to all
CHAT: Apr 18 08:26:16 {name  = "Hya6", ucid = "e74dc66df906a94f3cdc531a76a6411f", ip = "86.108.60.222:3123", id = 6} said "Idk man seen alot of 50 nm kills" to all
CHAT: Apr 18 08:26:16 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "given my aim120cs function correctly" to all
CHAT: Apr 18 08:27:46 {name  = "Mazterkilla\"MAZ\"[GER]", ucid = "93d2a5d329b0726ded4f113e517dda1d", ip = "80.138.82.10:63601", id = 18} said "hi all" to all
CHAT: Apr 18 08:28:01 {name  = "✠ FarOut PT ✠", ucid = "e09de14c894b79aa6904d769e282827a", ip = "172.83.45.212:59560", id = 5} said "hi" to all
CHAT: Apr 18 08:31:27 {name  = "Hya6", ucid = "e74dc66df906a94f3cdc531a76a6411f", ip = "86.108.60.222:3123", id = 6} said "Thanks alot cheem" to all
CHAT: Apr 18 08:32:21 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "me is back" to all
CHAT: Apr 18 08:32:22 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "what'd i miss" to all
CHAT: Apr 18 08:32:53 {name  = "Hya6", ucid = "e74dc66df906a94f3cdc531a76a6411f", ip = "86.108.60.222:3123", id = 6} said "Which aims should I be using" to all
CHAT: Apr 18 08:32:56 {name  = "Hya6", ucid = "e74dc66df906a94f3cdc531a76a6411f", ip = "86.108.60.222:3123", id = 6} said "aim 9m or what" to all
CHAT: Apr 18 08:33:19 {name  = "Cheeks 1-2", ucid = "413c75cb1885c01efeac1169bf797567", ip = "68.230.118.22:51705", id = 2} said "9M" to all
CHAT: Apr 18 08:33:27 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "9m" to all
CHAT: Apr 18 08:34:08 {name  = "Norpa76", ucid = "8d6e741e639b6973e49fda81b1a3a152", ip = "88.195.98.108:59419", id = 25} said "wth happened?" to all
CHAT: Apr 18 08:52:03 {name  = "Kirchhoff", ucid = "e79fd388426e64b3ccfcc05b74b44f86", ip = "94.103.255.186:61762", id = 13} said "this new gun sound in ka-50" to all
CHAT: Apr 18 08:52:06 {name  = "Kirchhoff", ucid = "e79fd388426e64b3ccfcc05b74b44f86", ip = "94.103.255.186:61762", id = 13} said "AHHH" to all
CHAT: Apr 18 08:52:09 {name  = "Kirchhoff", ucid = "e79fd388426e64b3ccfcc05b74b44f86", ip = "94.103.255.186:61762", id = 13} said "i love it" to all
CHAT: Apr 18 08:57:44 {name  = "Cmos", ucid = "36f9cba7ca5e98513bbe8ece07dc4dd5", ip = "71.50.121.236:54688", id = 8} said "ZERO THAT LOOKED SIC" to all
CHAT: Apr 18 08:58:11 {name  = "Cmos", ucid = "36f9cba7ca5e98513bbe8ece07dc4dd5", ip = "71.50.121.236:54688", id = 8} said "IN VR" to all
CHAT: Apr 18 09:06:31 {name  = "Death Playmate", ucid = "fbe434638d88a3e4c8520bfb0d9c53a6", ip = "77.181.48.225:50005", id = 28} said "sry" to all
CHAT: Apr 18 09:06:42 {name  = "wabik", ucid = "a395f1f4a67397f126235d63eab2ba05", ip = "70.121.187.53:55936", id = 16} said "my controller disconnected" to all
CHAT: Apr 18 09:07:32 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "holy fuck" to all
CHAT: Apr 18 09:07:32 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "lol" to all
CHAT: Apr 18 09:07:36 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "that fuckin su30" to all
CHAT: Apr 18 09:18:22 {name  = "Anatoly", ucid = "50cee02f168a8f747c55a3fbbb9c5e87", ip = "216.54.110.50:63146", id = 10} said "good shit lmao" to all
TEAM HIT: Apr 18 09:20:09 {players = {1 = {name  = "casanegra", ucid = "3211cb4275f1b9e72f053f3c87d01b59", ip = "85.190.74.21:53919", id = 26}1 = {name = Raider with AIM-9M
TEAM KILL: Apr 18 09:20:34 {players = {1 = {name  = "casanegra", ucid = "3211cb4275f1b9e72f053f3c87d01b59", ip = "nil", id = 26}1 = {name = Raider with AIM-9M
CHAT: Apr 18 09:20:37 {name  = "casanegra", ucid = "3211cb4275f1b9e72f053f3c87d01b59", ip = "85.190.74.21:53919", id = 26} said "sorry friend" to all
CHAT: Apr 18 09:34:37 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "Eridan" to all
CHAT: Apr 18 09:34:42 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "that tanker doesnt support you" to all
CHAT: Apr 18 09:34:44 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "you need MPRS" to all
CHAT: Apr 18 09:34:55 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "the other tanker off your nose" to all
CHAT: Apr 18 09:35:24 {name  = "Eridan", ucid = "d6a1045bed4e6d5dd5b5f406fa44eb5f", ip = "93.19.73.234:54087", id = 33} said "thank you !" to all
CHAT: Apr 18 09:35:32 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "theres a second tanker coming your way" to all
CHAT: Apr 18 09:35:34 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "off your left" to all
CHAT: Apr 18 09:35:38 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "if you really wanna do AAR" to all
CHAT: Apr 18 09:36:02 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "approx heading 298 at 29NM" to all
CHAT: Apr 18 09:36:08 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "angels 16" to all
CHAT: Apr 18 09:38:03 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "Erdian" to all
CHAT: Apr 18 09:38:05 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "come left to 241" to all
CHAT: Apr 18 09:38:13 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "correction" to all
CHAT: Apr 18 09:38:13 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "205" to all
CHAT: Apr 18 09:39:37 {name  = "Anatoly", ucid = "50cee02f168a8f747c55a3fbbb9c5e87", ip = "216.54.110.50:63146", id = 10} said "whats the laser code for kobuleti" to all
CHAT: Apr 18 09:39:54 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "you mean freq?" to all
CHAT: Apr 18 09:40:15 {name  = "Anatoly", ucid = "50cee02f168a8f747c55a3fbbb9c5e87", ip = "216.54.110.50:63146", id = 10} said "nope apparently no laser code for kob" to all
CHAT: Apr 18 09:40:20 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "hm" to all
CHAT: Apr 18 09:40:24 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "never used laser i guess" to all
CHAT: Apr 18 09:40:24 {name  = "Anatoly", ucid = "50cee02f168a8f747c55a3fbbb9c5e87", ip = "216.54.110.50:63146", id = 10} said "dropping my bombs w my own lase" to all
CHAT: Apr 18 09:40:27 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "Try 1688" to all
CHAT: Apr 18 09:40:38 {name  = "Anatoly", ucid = "50cee02f168a8f747c55a3fbbb9c5e87", ip = "216.54.110.50:63146", id = 10} said "1688 is common use" to all
CHAT: Apr 18 09:40:46 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "yeah but if theres nothjing else" to all
CHAT: Apr 18 09:40:49 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "whats wrong with trying" to all
CHAT: Apr 18 09:40:52 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "lol" to all
CHAT: Apr 18 09:40:58 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "sorry best adminly advice i got" to all
CHAT: Apr 18 09:41:04 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "i dont do a2g often" to all
CHAT: Apr 18 09:41:19 {name  = "Anatoly", ucid = "50cee02f168a8f747c55a3fbbb9c5e87", ip = "216.54.110.50:63146", id = 10} said "i dislike a2a" to all
CHAT: Apr 18 09:41:22 {name  = "Anatoly", ucid = "50cee02f168a8f747c55a3fbbb9c5e87", ip = "216.54.110.50:63146", id = 10} said "just bvr tho" to all
CHAT: Apr 18 09:41:25 {name  = "Anatoly", ucid = "50cee02f168a8f747c55a3fbbb9c5e87", ip = "216.54.110.50:63146", id = 10} said "dog fighting is fun" to all
CHAT: Apr 18 09:41:29 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "i specialize in both" to all
CHAT: Apr 18 09:41:44 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "i dislike a2g completely" to all
CHAT: Apr 18 09:41:57 {name  = "[RDAF] Nebse", ucid = "5f6e2397d4b4c26449353efb28496cbb", ip = "84.238.82.250:55117", id = 16} said "pvp i so unbalanced cause of differnt stages in plane development" to all
CHAT: Apr 18 09:42:15 {name  = "Nightmare 1-1 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.101.212:55246", id = 24} said "depends on how you look at it" to all
