CHAT: Feb 28 03:10:48 {name  = "Bad Idea Hat", ucid = "bbf19995f3fd39fb3a7efda3063b4b66", ip = "184.54.123.71:64220", id = 5} said "-motd" to all (output suppressed by Slmod)
TEAM HIT: Feb 28 04:02:55 {players = {1 = {name  = "SabineX", ucid = "5aa4d557909b1586581ad2bd8cb1be17", ip = "89.73.3.36:62896", id = 16}1 = {name = 10_THEODORE_CVN71 with kamikaze
CHAT: Feb 28 04:02:59 {name  = "MrSquirrels", ucid = "283bee3dd6d723c6c05cf1cf81c08cd4", ip = "137.119.126.209:53338", id = 3} said "lol" to all
TEAM HIT: Feb 28 04:03:12 {players = {1 = {name  = "Intrepid 1-1 | NanoTrasen", ucid = "a3e7814dca575cf57d03261cf4ea9437", ip = "68.13.3.220:51029", id = 19}1 = {name = 12_BLUE_CVN73_EAST with F/A-18C Lot 20
CHAT: Feb 28 04:04:41 {name  = "Intrepid 1-1 | NanoTrasen", ucid = "a3e7814dca575cf57d03261cf4ea9437", ip = "68.13.3.220:51029", id = 19} said "Hey, death playmate. Are you the same guy from the BMR insurgency arma servers?" to all
CHAT: Feb 28 04:06:10 {name  = "Shekel 1-4 | Falinov", ucid = "0263de1f9a6ee77b60cdfbbcd7ea09f5", ip = "97.118.127.61:65286", id = 27} said "-admin" to all (output suppressed by Slmod)
CHAT: Feb 28 04:14:40 {name  = "Intrepid 1-1 | NanoTrasen", ucid = "a3e7814dca575cf57d03261cf4ea9437", ip = "68.13.3.220:51029", id = 19} said "-motd" to all (output suppressed by Slmod)
CHAT: Feb 28 04:14:50 {name  = "Intrepid 1-1 | NanoTrasen", ucid = "a3e7814dca575cf57d03261cf4ea9437", ip = "68.13.3.220:51029", id = 19} said "-stats" to all (output suppressed by Slmod)
CHAT: Feb 28 04:14:56 {name  = "Intrepid 1-1 | NanoTrasen", ucid = "a3e7814dca575cf57d03261cf4ea9437", ip = "68.13.3.220:51029", id = 19} said "-help" to all (output suppressed by Slmod)
CHAT: Feb 28 04:15:17 {name  = "Intrepid 1-1 | NanoTrasen", ucid = "a3e7814dca575cf57d03261cf4ea9437", ip = "68.13.3.220:51029", id = 19} said "-stats penalty" to all (output suppressed by Slmod)
CHAT: Feb 28 04:28:06 {name  = "AAT02", ucid = "512ddf6cda65380f8453de9a642f7fa5", ip = "134.41.5.245:51586", id = 3} said "Sidewinder 127 whats your group id" to all
CHAT: Feb 28 04:28:47 {name  = "Sidewinder147", ucid = "b764abed10b29f385d00923c3d56a89c", ip = "96.59.59.4:51327", id = 14} said "20" to all
CHAT: Feb 28 04:29:06 {name  = "HeavyGun1450", ucid = "c1ae10615fed0eb411e7f1252404eb24", ip = "24.101.17.131:58444", id = 11} said "lmao landed a-10 with 1 engine and no landing gear" to all
CHAT: Feb 28 04:29:12 {name  = "HeavyGun1450", ucid = "c1ae10615fed0eb411e7f1252404eb24", ip = "24.101.17.131:58444", id = 11} said "or hud" to all
TEAM HIT: Feb 28 04:36:28 {players = {1 = {name  = "NorciM", ucid = "bd79abd64b10ed6716df44ada7030059", ip = "178.195.136.121:53033", id = 8}1 = {name = Waldkraut with AIM-9X
TEAM HIT: Feb 28 04:38:01 {players = {1 = {name  = "Waldkraut", ucid = "05d08090feadde07c511d1a75c5e031c", ip = "31.10.147.161:14834", id = 2}1 = {name = NorciM with MBDA Mistral
TEAM KILL: Feb 28 04:38:08 {players = {1 = {name  = "Waldkraut", ucid = "05d08090feadde07c511d1a75c5e031c", ip = "nil", id = 2}1 = {name = NorciM with MBDA Mistral
CHAT: Feb 28 04:46:55 {name  = "Sidewinder147", ucid = "b764abed10b29f385d00923c3d56a89c", ip = "96.59.59.4:51327", id = 14} said "i dont think we have anything big enough for those bunkers" to all
CHAT: Feb 28 04:47:02 {name  = "AAT02", ucid = "512ddf6cda65380f8453de9a642f7fa5", ip = "134.41.5.245:51586", id = 3} said "hmm yea" to all
CHAT: Feb 28 04:47:47 {name  = "Sidewinder147", ucid = "b764abed10b29f385d00923c3d56a89c", ip = "96.59.59.4:51327", id = 14} said "can hit the radio mast" to all
CHAT: Feb 28 04:49:17 {name  = "AAT02", ucid = "512ddf6cda65380f8453de9a642f7fa5", ip = "134.41.5.245:51586", id = 3} said "bandit ~15" to all
CHAT: Feb 28 04:50:15 {name  = "Sidewinder147", ucid = "b764abed10b29f385d00923c3d56a89c", ip = "96.59.59.4:51327", id = 14} said "i say its time to go" to all
TEAM KILL: Feb 28 04:52:56 {players = {1 = {name  = "NorciM", ucid = "bd79abd64b10ed6716df44ada7030059", ip = "nil", id = 8}1 = {name = MEDEVAC BLUE #68 with AIM-9X
TEAM HIT: Feb 28 05:44:06 {players = {1 = {name  = "focus1190", ucid = "95e58da84c049bdf91c80d8e4270801c", ip = "115.66.243.128:60652", id = 3}1 = {name = 12_BLUE_CVN73_EAST with F/A-18C Lot 20
TEAM HIT: Feb 28 06:27:23 {players = {1 = {name  = "Sgt. Tetgmeyer", ucid = "14ae2c812707ac790a0c9a350fba75e6", ip = "68.59.175.205:59109", id = 14}1 = {name = 10_THEODORE_CVN71 with F/A-18C Lot 20
TEAM HIT: Feb 28 06:35:45 {players = {1 = {name  = "Chase 1-1", ucid = "40aee8cb7e96e660a5677094e68cea2e", ip = "24.107.238.70:50447", id = 5}1 = {name = [NE1] Blind Justice with AIM_54A_Mk60
TEAM KILL: Feb 28 06:35:45 {players = {1 = {name  = "Chase 1-1", ucid = "40aee8cb7e96e660a5677094e68cea2e", ip = "nil", id = 5}1 = {name = [NE1] Blind Justice with AIM_54A_Mk60
CHAT: Feb 28 06:36:25 {name  = "[NE1] Blind Justice", ucid = "9c51d7426764cc831b0014cb7feab621", ip = "63.142.115.69:51742", id = 21} said "forgive" to all
TEAM HIT: Feb 28 06:41:07 {players = {1 = {name  = "Tizen1-2", ucid = "173a9c0242c2e9238e8b967d8c071331", ip = "103.23.133.42:2489", id = 8}1 = {name = Sgt. Tetgmeyer with F/A-18C Lot 20
TEAM HIT: Feb 28 06:41:08 {players = {1 = {name  = "Tizen1-2", ucid = "173a9c0242c2e9238e8b967d8c071331", ip = "103.23.133.42:2489", id = 8}1 = {name = Sgt. Tetgmeyer with F/A-18C Lot 20
TEAM HIT: Feb 28 06:41:08 {players = {1 = {name  = "Tizen1-2", ucid = "173a9c0242c2e9238e8b967d8c071331", ip = "103.23.133.42:2489", id = 8}1 = {name = 10_WEST_CVN73 with F/A-18C Lot 20
TEAM HIT: Feb 28 06:52:07 {players = {1 = {name  = "krempp", ucid = "3d8ecac9e52c766eeeb57e99e96108f4", ip = "68.68.90.54:51744", id = 11}1 = {name = Rixie 1-1 with F/A-18C Lot 20
TEAM HIT: Feb 28 06:52:07 {players = {1 = {name  = "Rixie 1-1", ucid = "7ebbf5f9b26bb2b1a58aa81aa4a4b949", ip = "103.23.133.42:2962", id = 25}1 = {name = krempp with F/A-18C Lot 20
TEAM HIT: Feb 28 06:52:08 {players = {1 = {name  = "Rixie 1-1", ucid = "7ebbf5f9b26bb2b1a58aa81aa4a4b949", ip = "103.23.133.42:2962", id = 25}1 = {name = krempp with F/A-18C Lot 20
TEAM HIT: Feb 28 06:52:08 {players = {1 = {name  = "krempp", ucid = "3d8ecac9e52c766eeeb57e99e96108f4", ip = "68.68.90.54:51744", id = 11}1 = {name = Rixie 1-1 with F/A-18C Lot 20
CHAT: Feb 28 06:52:23 {name  = "krempp", ucid = "3d8ecac9e52c766eeeb57e99e96108f4", ip = "68.68.90.54:51744", id = 11} said "seriously..." to all
CHAT: Feb 28 06:52:39 {name  = "Rixie 1-1", ucid = "7ebbf5f9b26bb2b1a58aa81aa4a4b949", ip = "103.23.133.42:2962", id = 25} said "sry man" to all
TEAM KILL: Feb 28 06:52:46 {players = {1 = {name  = "Rixie 1-1", ucid = "7ebbf5f9b26bb2b1a58aa81aa4a4b949", ip = "nil", id = 25}1 = {name = Pilot #275 with F/A-18C Lot 20
TEAM KILL: Feb 28 06:52:59 {players = {1 = {name  = "krempp", ucid = "3d8ecac9e52c766eeeb57e99e96108f4", ip = "nil", id = 11}1 = {name = Rixie 1-1 with F/A-18C Lot 20
CHAT: Feb 28 06:53:30 {name  = "Lucky [GER]", ucid = "43b06cee73f7f9e7f0e2dbc5d2ead0c3", ip = "91.20.9.62:65511", id = 2} said "SLMOD INFO: Player "krempp" is getting autokicked back to spectator" to all
CHAT: Feb 28 06:53:30 {name  = "Havoc 1-1", ucid = "075dd9398fa1e938af9751351c5c9378", ip = "73.25.231.186:63151", id = 3} said "SLMOD INFO: Player "krempp" is getting autokicked back to spectator" to all
CHAT: Feb 28 06:53:30 {name  = "week.ru", ucid = "fc7ea152666b35df7243b09ac7f9d7e4", ip = "86.110.170.122:52662", id = 4} said "SLMOD INFO: Player "krempp" is getting autokicked back to spectator" to all
CHAT: Feb 28 06:53:30 {name  = "Chase 1-1", ucid = "40aee8cb7e96e660a5677094e68cea2e", ip = "24.107.238.70:50447", id = 5} said "SLMOD INFO: Player "krempp" is getting autokicked back to spectator" to all
CHAT: Feb 28 06:53:30 {name  = "zero", ucid = "fc7ea152666b35df7243b09ac7f9d7e4", ip = "86.110.170.122:61572", id = 6} said "SLMOD INFO: Player "krempp" is getting autokicked back to spectator" to all
CHAT: Feb 28 06:53:30 {name  = "[FR]Mauvaiskarma.--*VR*--", ucid = "6a13f07540c99492892554af1bdb4747", ip = "109.219.234.236:52059", id = 7} said "SLMOD INFO: Player "krempp" is getting autokicked back to spectator" to all
CHAT: Feb 28 06:53:30 {name  = "Tizen1-2", ucid = "173a9c0242c2e9238e8b967d8c071331", ip = "103.23.133.42:2489", id = 8} said "SLMOD INFO: Player "krempp" is getting autokicked back to spectator" to all
CHAT: Feb 28 06:53:30 {name  = "[NE1] Blind Justice", ucid = "9c51d7426764cc831b0014cb7feab621", ip = "63.142.115.69:52008", id = 9} said "SLMOD INFO: Player "krempp" is getting autokicked back to spectator" to all
CHAT: Feb 28 06:53:30 {name  = "jerj100", ucid = "8b397ed5bc92e5de32d54ddca865fa09", ip = "24.194.178.226:64330", id = 10} said "SLMOD INFO: Player "krempp" is getting autokicked back to spectator" to all
CHAT: Feb 28 06:53:30 {name  = "krempp", ucid = "3d8ecac9e52c766eeeb57e99e96108f4", ip = "68.68.90.54:51744", id = 11} said "SLMOD INFO: Player "krempp" is getting autokicked back to spectator" to all
CHAT: Feb 28 06:53:30 {name  = "[VFA-69] Woodbear", ucid = "2231ff801c1e330941c3c594d170dbad", ip = "88.88.61.46:49390", id = 12} said "SLMOD INFO: Player "krempp" is getting autokicked back to spectator" to all
CHAT: Feb 28 06:53:30 {name  = "ULU 1-1 | Marten", ucid = "ac7f4742a866d3f326e693f9bca8deb8", ip = "64.228.157.129:64333", id = 13} said "SLMOD INFO: Player "krempp" is getting autokicked back to spectator" to all
CHAT: Feb 28 06:53:30 {name  = "Sgt. Tetgmeyer", ucid = "14ae2c812707ac790a0c9a350fba75e6", ip = "68.59.175.205:59109", id = 14} said "SLMOD INFO: Player "krempp" is getting autokicked back to spectator" to all
CHAT: Feb 28 06:53:30 {name  = "SirFXalot", ucid = "bf269f0ffe102f26806d94241a0b50ee", ip = "69.121.45.146:57078", id = 16} said "SLMOD INFO: Player "krempp" is getting autokicked back to spectator" to all
CHAT: Feb 28 06:53:30 {name  = "[DCS HAF]Scorp", ucid = "2120a80476617931db72e2fde92a487a", ip = "46.246.176.94:56556", id = 19} said "SLMOD INFO: Player "krempp" is getting autokicked back to spectator" to all
CHAT: Feb 28 06:53:30 {name  = "makr.z", ucid = "4930983dc21400344cca6fb6672e9d69", ip = "49.51.161.101:29378", id = 23} said "SLMOD INFO: Player "krempp" is getting autokicked back to spectator" to all
CHAT: Feb 28 06:53:30 {name  = "Intrepid 1-1 | NanoTrasen", ucid = "a3e7814dca575cf57d03261cf4ea9437", ip = "68.13.3.220:52478", id = 24} said "SLMOD INFO: Player "krempp" is getting autokicked back to spectator" to all
CHAT: Feb 28 06:53:30 {name  = "Rixie 1-1", ucid = "7ebbf5f9b26bb2b1a58aa81aa4a4b949", ip = "103.23.133.42:2962", id = 25} said "SLMOD INFO: Player "krempp" is getting autokicked back to spectator" to all
CHAT: Feb 28 06:54:12 {name  = "krempp", ucid = "3d8ecac9e52c766eeeb57e99e96108f4", ip = "68.68.90.54:51744", id = 11} said "now im kicked to specatator because you decided to taxi into a runway as i landed" to all
CHAT: Feb 28 06:54:14 {name  = "krempp", ucid = "3d8ecac9e52c766eeeb57e99e96108f4", ip = "68.68.90.54:51744", id = 11} said "awesome" to all
CHAT: Feb 28 06:55:14 {name  = "krempp", ucid = "3d8ecac9e52c766eeeb57e99e96108f4", ip = "68.68.90.54:51744", id = 11} said "perfect............." to all
TEAM KILL: Feb 28 07:01:24 {players = {1 = {name  = "Tizen1-2", ucid = "173a9c0242c2e9238e8b967d8c071331", ip = "nil", id = 8}1 = {name = Pilot #777 with F/A-18C Lot 20
CHAT: Feb 28 07:20:51 {name  = "DL72", ucid = "4bd9d94e5e3d75de25d202146d70f6b6", ip = "45.36.211.212:63930", id = 20} said "accidental reverse cobra lmao" to all
CHAT: Feb 28 07:26:03 {name  = "jerj100", ucid = "8b397ed5bc92e5de32d54ddca865fa09", ip = "24.194.178.226:64330", id = 10} said "Nice F18 wit/ wings folded" to all
TEAM HIT: Feb 28 08:06:29 {players = {1 = {name  = "Rixie 1-1", ucid = "7ebbf5f9b26bb2b1a58aa81aa4a4b949", ip = "103.23.133.42:2962", id = 25}1 = {name = Tizen1-2 with F/A-18C Lot 20
TEAM HIT: Feb 28 08:06:29 {players = {1 = {name  = "Tizen1-2", ucid = "173a9c0242c2e9238e8b967d8c071331", ip = "103.23.133.42:2489", id = 8}1 = {name = Rixie 1-1 with F/A-18C Lot 20
TEAM KILL: Feb 28 08:11:08 {players = {1 = {name  = "Rixie 1-1", ucid = "7ebbf5f9b26bb2b1a58aa81aa4a4b949", ip = "nil", id = 25}1 = {name = Tizen1-2 with F/A-18C Lot 20
TEAM HIT: Feb 28 08:11:08 {players = {1 = {name  = "Tizen1-2", ucid = "173a9c0242c2e9238e8b967d8c071331", ip = "103.23.133.42:2489", id = 8}1 = {name = 10_WEST_CVN73 with F/A-18C Lot 20
TEAM HIT: Feb 28 08:11:08 {players = {1 = {name  = "Tizen1-2", ucid = "173a9c0242c2e9238e8b967d8c071331", ip = "103.23.133.42:2489", id = 8}1 = {name = Rixie 1-1 with F/A-18C Lot 20
CHAT: Feb 28 08:52:19 {name  = "TheSovietWombat", ucid = "88dad2e4dcc3b51b7cf71c6e915260e8", ip = "82.22.52.99:61172", id = 6} said "ASM mission to stennis" to all
CHAT: Feb 28 08:59:27 {name  = "TheSovietWombat", ucid = "88dad2e4dcc3b51b7cf71c6e915260e8", ip = "82.22.52.99:61172", id = 6} said "RIP my kh31 didnt track" to all
CHAT: Feb 28 09:02:27 {name  = "TheSovietWombat", ucid = "88dad2e4dcc3b51b7cf71c6e915260e8", ip = "82.22.52.99:61172", id = 6} said "i just pulled off 2000kmh at 3700m in a su33" to all
CHAT: Feb 28 09:02:29 {name  = "TheSovietWombat", ucid = "88dad2e4dcc3b51b7cf71c6e915260e8", ip = "82.22.52.99:61172", id = 6} said "wtf" to all
CHAT: Feb 28 09:29:04 {name  = "Coffee 1-2 | Hot", ucid = "7776b9e151107f6e517e1e78fb5e6944", ip = "98.154.24.146:14501", id = 7} said "cap needs south" to all
CHAT: Feb 28 09:34:30 {name  = "ComLock", ucid = "17e2630737fdba8d9139685e98f61b07", ip = "89.138.168.15:57624", id = 14} said "rearming and coming to cap 
assist" to all
TEAM HIT: Feb 28 09:35:04 {players = {1 = {name  = "¥ Merlin256 ¥", ucid = "a9576ed7f7c168335155ecc8ced3773f", ip = "188.23.143.166:62151", id = 2}1 = {name = Mave with F/A-18C Lot 20
TEAM HIT: Feb 28 09:35:05 {players = {1 = {name  = "¥ Merlin256 ¥", ucid = "a9576ed7f7c168335155ecc8ced3773f", ip = "188.23.143.166:62151", id = 2}1 = {name = Mave with F/A-18C Lot 20
TEAM HIT: Feb 28 09:35:06 {players = {1 = {name  = "Mave", ucid = "16f3875670a8030881d164dfa51ecf5c", ip = "77.48.225.17:55943", id = 6}1 = {name = ¥ Merlin256 ¥ with F/A-18C Lot 20
TEAM HIT: Feb 28 09:35:06 {players = {1 = {name  = "¥ Merlin256 ¥", ucid = "a9576ed7f7c168335155ecc8ced3773f", ip = "188.23.143.166:62151", id = 2}1 = {name = Mave with F/A-18C Lot 20
