CHAT: Dec 05 16:25:51 {name  = "Horseman 1-2 | Maddog", ucid = "2fdb9ab14d803bedcd1bfc73460d7db5", ip = "47.199.181.92:52807", id = 14} said "hornet you can go" to all
TEAM HIT: Dec 05 19:20:39 {players = {1 = {name  = "[Gypsies] 209 | Mad Max", ucid = "a39d0fab9a206df2304761a4186e7d65", ip = "185.27.235.154:65267", id = 3}1 = {name = Blair2819 with kamikaze
TEAM HIT: Dec 05 19:20:40 {players = {1 = {name  = "[Gypsies] 209 | Mad Max", ucid = "a39d0fab9a206df2304761a4186e7d65", ip = "185.27.235.154:65267", id = 3}1 = {name = Blair2819 with kamikaze
TEAM HIT: Dec 05 19:20:40 {players = {1 = {name  = "[Gypsies] 209 | Mad Max", ucid = "a39d0fab9a206df2304761a4186e7d65", ip = "185.27.235.154:65267", id = 3}1 = {name = Blair2819 with kamikaze
TEAM HIT: Dec 05 19:20:40 {players = {1 = {name  = "[Gypsies] 209 | Mad Max", ucid = "a39d0fab9a206df2304761a4186e7d65", ip = "185.27.235.154:65267", id = 3}1 = {name = Blair2819 with kamikaze
TEAM HIT: Dec 05 19:20:41 {players = {1 = {name  = "[Gypsies] 209 | Mad Max", ucid = "a39d0fab9a206df2304761a4186e7d65", ip = "185.27.235.154:65267", id = 3}1 = {name = Blair2819 with kamikaze
TEAM HIT: Dec 05 19:20:41 {players = {1 = {name  = "[Gypsies] 209 | Mad Max", ucid = "a39d0fab9a206df2304761a4186e7d65", ip = "185.27.235.154:65267", id = 3}1 = {name = Blair2819 with kamikaze
TEAM HIT: Dec 05 19:20:41 {players = {1 = {name  = "[Gypsies] 209 | Mad Max", ucid = "a39d0fab9a206df2304761a4186e7d65", ip = "185.27.235.154:65267", id = 3}1 = {name = Blair2819 with kamikaze
TEAM HIT: Dec 05 19:20:41 {players = {1 = {name  = "[Gypsies] 209 | Mad Max", ucid = "a39d0fab9a206df2304761a4186e7d65", ip = "185.27.235.154:65267", id = 3}1 = {name = Blair2819 with kamikaze
TEAM HIT: Dec 05 19:20:42 {players = {1 = {name  = "[Gypsies] 209 | Mad Max", ucid = "a39d0fab9a206df2304761a4186e7d65", ip = "185.27.235.154:65267", id = 3}1 = {name = Blair2819 with kamikaze
TEAM HIT: Dec 05 19:20:42 {players = {1 = {name  = "[Gypsies] 209 | Mad Max", ucid = "a39d0fab9a206df2304761a4186e7d65", ip = "185.27.235.154:65267", id = 3}1 = {name = Blair2819 with kamikaze
TEAM HIT: Dec 05 19:20:42 {players = {1 = {name  = "[Gypsies] 209 | Mad Max", ucid = "a39d0fab9a206df2304761a4186e7d65", ip = "185.27.235.154:65267", id = 3}1 = {name = Blair2819 with kamikaze
TEAM HIT: Dec 05 19:20:43 {players = {1 = {name  = "[Gypsies] 209 | Mad Max", ucid = "a39d0fab9a206df2304761a4186e7d65", ip = "185.27.235.154:65267", id = 3}1 = {name = Blair2819 with kamikaze
TEAM HIT: Dec 05 19:20:44 {players = {1 = {name  = "[Gypsies] 209 | Mad Max", ucid = "a39d0fab9a206df2304761a4186e7d65", ip = "185.27.235.154:65267", id = 3}1 = {name = Blair2819 with kamikaze
TEAM HIT: Dec 05 19:20:45 {players = {1 = {name  = "[Gypsies] 209 | Mad Max", ucid = "a39d0fab9a206df2304761a4186e7d65", ip = "185.27.235.154:65267", id = 3}1 = {name = Blair2819 with kamikaze
TEAM HIT: Dec 05 19:20:45 {players = {1 = {name  = "[Gypsies] 209 | Mad Max", ucid = "a39d0fab9a206df2304761a4186e7d65", ip = "185.27.235.154:65267", id = 3}1 = {name = Blair2819 with kamikaze
TEAM HIT: Dec 05 19:20:46 {players = {1 = {name  = "[Gypsies] 209 | Mad Max", ucid = "a39d0fab9a206df2304761a4186e7d65", ip = "185.27.235.154:65267", id = 3}1 = {name = Blair2819 with kamikaze
TEAM HIT: Dec 05 19:20:46 {players = {1 = {name  = "[Gypsies] 209 | Mad Max", ucid = "a39d0fab9a206df2304761a4186e7d65", ip = "185.27.235.154:65267", id = 3}1 = {name = Blair2819 with kamikaze
TEAM HIT: Dec 05 19:20:47 {players = {1 = {name  = "[Gypsies] 209 | Mad Max", ucid = "a39d0fab9a206df2304761a4186e7d65", ip = "185.27.235.154:65267", id = 3}1 = {name = Blair2819 with kamikaze
TEAM HIT: Dec 05 19:20:48 {players = {1 = {name  = "[Gypsies] 209 | Mad Max", ucid = "a39d0fab9a206df2304761a4186e7d65", ip = "185.27.235.154:65267", id = 3}1 = {name = Blair2819 with kamikaze
TEAM HIT: Dec 05 19:20:49 {players = {1 = {name  = "[Gypsies] 209 | Mad Max", ucid = "a39d0fab9a206df2304761a4186e7d65", ip = "185.27.235.154:65267", id = 3}1 = {name = Blair2819 with kamikaze
TEAM HIT: Dec 05 19:20:50 {players = {1 = {name  = "[Gypsies] 209 | Mad Max", ucid = "a39d0fab9a206df2304761a4186e7d65", ip = "185.27.235.154:65267", id = 3}1 = {name = Blair2819 with kamikaze
TEAM HIT: Dec 05 19:20:50 {players = {1 = {name  = "[Gypsies] 209 | Mad Max", ucid = "a39d0fab9a206df2304761a4186e7d65", ip = "185.27.235.154:65267", id = 3}1 = {name = Blair2819 with kamikaze
TEAM HIT: Dec 05 19:20:51 {players = {1 = {name  = "[Gypsies] 209 | Mad Max", ucid = "a39d0fab9a206df2304761a4186e7d65", ip = "185.27.235.154:65267", id = 3}1 = {name = Blair2819 with kamikaze
TEAM HIT: Dec 05 19:20:52 {players = {1 = {name  = "[Gypsies] 209 | Mad Max", ucid = "a39d0fab9a206df2304761a4186e7d65", ip = "185.27.235.154:65267", id = 3}1 = {name = Blair2819 with kamikaze
TEAM HIT: Dec 05 19:20:52 {players = {1 = {name  = "[Gypsies] 209 | Mad Max", ucid = "a39d0fab9a206df2304761a4186e7d65", ip = "185.27.235.154:65267", id = 3}1 = {name = Blair2819 with kamikaze
TEAM HIT: Dec 05 19:20:53 {players = {1 = {name  = "[Gypsies] 209 | Mad Max", ucid = "a39d0fab9a206df2304761a4186e7d65", ip = "185.27.235.154:65267", id = 3}1 = {name = Blair2819 with kamikaze
TEAM HIT: Dec 05 19:20:53 {players = {1 = {name  = "[Gypsies] 209 | Mad Max", ucid = "a39d0fab9a206df2304761a4186e7d65", ip = "185.27.235.154:65267", id = 3}1 = {name = Blair2819 with kamikaze
TEAM HIT: Dec 05 19:20:54 {players = {1 = {name  = "[Gypsies] 209 | Mad Max", ucid = "a39d0fab9a206df2304761a4186e7d65", ip = "185.27.235.154:65267", id = 3}1 = {name = Blair2819 with kamikaze
TEAM HIT: Dec 05 19:20:54 {players = {1 = {name  = "[Gypsies] 209 | Mad Max", ucid = "a39d0fab9a206df2304761a4186e7d65", ip = "185.27.235.154:65267", id = 3}1 = {name = Blair2819 with kamikaze
TEAM HIT: Dec 05 19:20:54 {players = {1 = {name  = "[Gypsies] 209 | Mad Max", ucid = "a39d0fab9a206df2304761a4186e7d65", ip = "185.27.235.154:65267", id = 3}1 = {name = Blair2819 with kamikaze
TEAM HIT: Dec 05 19:20:55 {players = {1 = {name  = "[Gypsies] 209 | Mad Max", ucid = "a39d0fab9a206df2304761a4186e7d65", ip = "185.27.235.154:65267", id = 3}1 = {name = Blair2819 with kamikaze
TEAM HIT: Dec 05 19:20:55 {players = {1 = {name  = "[Gypsies] 209 | Mad Max", ucid = "a39d0fab9a206df2304761a4186e7d65", ip = "185.27.235.154:65267", id = 3}1 = {name = Blair2819 with kamikaze
TEAM HIT: Dec 05 19:20:55 {players = {1 = {name  = "[Gypsies] 209 | Mad Max", ucid = "a39d0fab9a206df2304761a4186e7d65", ip = "185.27.235.154:65267", id = 3}1 = {name = Blair2819 with kamikaze
TEAM HIT: Dec 05 19:20:56 {players = {1 = {name  = "[Gypsies] 209 | Mad Max", ucid = "a39d0fab9a206df2304761a4186e7d65", ip = "185.27.235.154:65267", id = 3}1 = {name = Blair2819 with kamikaze
TEAM HIT: Dec 05 19:20:56 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
TEAM HIT: Dec 05 19:20:57 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
TEAM HIT: Dec 05 19:20:57 {players = {1 = {name  = "[Gypsies] 209 | Mad Max", ucid = "a39d0fab9a206df2304761a4186e7d65", ip = "185.27.235.154:65267", id = 3}1 = {name = Blair2819 with kamikaze
TEAM HIT: Dec 05 19:20:57 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
TEAM HIT: Dec 05 19:20:58 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
TEAM HIT: Dec 05 19:20:58 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
TEAM HIT: Dec 05 19:20:58 {players = {1 = {name  = "[Gypsies] 209 | Mad Max", ucid = "a39d0fab9a206df2304761a4186e7d65", ip = "185.27.235.154:65267", id = 3}1 = {name = Blair2819 with kamikaze
TEAM HIT: Dec 05 19:20:58 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
TEAM HIT: Dec 05 19:20:59 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
TEAM HIT: Dec 05 19:20:59 {players = {1 = {name  = "[Gypsies] 209 | Mad Max", ucid = "a39d0fab9a206df2304761a4186e7d65", ip = "185.27.235.154:65267", id = 3}1 = {name = Blair2819 with kamikaze
TEAM HIT: Dec 05 19:20:59 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
TEAM HIT: Dec 05 19:21:00 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
TEAM HIT: Dec 05 19:21:00 {players = {1 = {name  = "[Gypsies] 209 | Mad Max", ucid = "a39d0fab9a206df2304761a4186e7d65", ip = "185.27.235.154:65267", id = 3}1 = {name = Blair2819 with kamikaze
TEAM HIT: Dec 05 19:21:01 {players = {1 = {name  = "[Gypsies] 209 | Mad Max", ucid = "a39d0fab9a206df2304761a4186e7d65", ip = "185.27.235.154:65267", id = 3}1 = {name = Blair2819 with kamikaze
TEAM HIT: Dec 05 19:22:25 {players = {1 = {name  = "[Gypsies] 209 | Mad Max", ucid = "a39d0fab9a206df2304761a4186e7d65", ip = "185.27.235.154:65267", id = 3}1 = {name = Blair2819 with kamikaze
TEAM HIT: Dec 05 19:22:25 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
TEAM HIT: Dec 05 19:22:26 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
TEAM HIT: Dec 05 19:22:27 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
TEAM HIT: Dec 05 19:22:28 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
TEAM HIT: Dec 05 19:22:29 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
TEAM HIT: Dec 05 19:22:30 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
TEAM HIT: Dec 05 19:22:31 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
TEAM HIT: Dec 05 19:22:32 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
TEAM HIT: Dec 05 19:22:33 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
TEAM HIT: Dec 05 19:22:34 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
TEAM HIT: Dec 05 19:22:35 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
TEAM HIT: Dec 05 19:22:36 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
TEAM HIT: Dec 05 19:22:37 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
TEAM HIT: Dec 05 19:22:38 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
TEAM HIT: Dec 05 19:22:50 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
TEAM HIT: Dec 05 19:22:51 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
TEAM HIT: Dec 05 19:22:52 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
TEAM HIT: Dec 05 19:22:53 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
TEAM HIT: Dec 05 19:22:54 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
TEAM HIT: Dec 05 19:22:55 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
TEAM HIT: Dec 05 19:22:56 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
TEAM HIT: Dec 05 19:22:57 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
TEAM HIT: Dec 05 19:22:58 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
TEAM HIT: Dec 05 19:22:59 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
TEAM HIT: Dec 05 19:23:00 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
TEAM HIT: Dec 05 19:23:01 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
TEAM HIT: Dec 05 19:23:02 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
TEAM HIT: Dec 05 19:23:03 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
TEAM HIT: Dec 05 19:23:04 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
TEAM HIT: Dec 05 19:23:05 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
TEAM HIT: Dec 05 19:23:06 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
TEAM HIT: Dec 05 19:23:07 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
TEAM HIT: Dec 05 19:23:08 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
TEAM HIT: Dec 05 19:23:09 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
TEAM HIT: Dec 05 19:23:12 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
TEAM HIT: Dec 05 19:23:25 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
TEAM HIT: Dec 05 19:23:26 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
TEAM HIT: Dec 05 19:23:27 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
TEAM HIT: Dec 05 19:23:28 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
TEAM HIT: Dec 05 19:23:29 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
TEAM HIT: Dec 05 19:23:30 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
TEAM HIT: Dec 05 19:23:31 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
TEAM HIT: Dec 05 19:23:32 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
TEAM HIT: Dec 05 19:23:33 {players = {1 = {name  = "Blair2819", ucid = "dc798538f7fc753b0f437779c67374ef", ip = "124.184.119.176:56426", id = 10}1 = {name = [Gypsies] 209 | Mad Max with kamikaze
