CHAT: Jul 24 15:07:18 {name  = "Panther 1-1", ucid = "fa5c4a32ff77970dca672ae9495f18dd", ip = "178.4.249.95:50169", id = 2} said "Yoooooooooooo" to all
CHAT: Jul 29 01:06:37 {name  = "Rubble", ucid = "8e75eb749b0090c7ba93afe11c9263df", ip = "66.41.100.202:59376", id = 2} said "-vote restart" to all (output suppressed by Slmod)
CHAT: Jul 29 01:07:16 {name  = "Rubble", ucid = "8e75eb749b0090c7ba93afe11c9263df", ip = "66.41.100.202:59376", id = 2} said "-vote" to all (output suppressed by Slmod)
CHAT: Jul 29 01:07:39 {name  = "Rubble", ucid = "8e75eb749b0090c7ba93afe11c9263df", ip = "66.41.100.202:59376", id = 2} said "-vote list" to all (output suppressed by Slmod)
CHAT: Jul 29 01:07:52 {name  = "Rubble", ucid = "8e75eb749b0090c7ba93afe11c9263df", ip = "66.41.100.202:59376", id = 2} said "-rtv" to all (output suppressed by Slmod)
CHAT: Jul 29 01:07:52 {name  = "Rubble", ucid = "8e75eb749b0090c7ba93afe11c9263df", ip = "66.41.100.202:59376", id = 2} said "Rubble has voted to rock the vote." to all
CHAT: Jul 29 01:07:57 {name  = "Rubble", ucid = "8e75eb749b0090c7ba93afe11c9263df", ip = "66.41.100.202:59376", id = 2} said "Slmod: RTV has been succsseful. Mission vote now starting. Vote will last for: 3.00 minutes." to all
CHAT: Jul 29 01:08:04 {name  = "Rubble", ucid = "8e75eb749b0090c7ba93afe11c9263df", ip = "66.41.100.202:59376", id = 2} said "-vote restart" to all (output suppressed by Slmod)
CHAT: Jul 29 01:12:19 {name  = "Rubble", ucid = "8e75eb749b0090c7ba93afe11c9263df", ip = "66.41.100.202:59376", id = 2} said "-vote" to all (output suppressed by Slmod)
CHAT: Jul 29 01:12:37 {name  = "Rubble", ucid = "8e75eb749b0090c7ba93afe11c9263df", ip = "66.41.100.202:59376", id = 2} said "-vote status" to all (output suppressed by Slmod)
CHAT: Jul 29 01:13:06 {name  = "Rubble", ucid = "8e75eb749b0090c7ba93afe11c9263df", ip = "66.41.100.202:59376", id = 2} said "-vote" to all (output suppressed by Slmod)
CHAT: Jul 29 01:13:30 {name  = "Rubble", ucid = "8e75eb749b0090c7ba93afe11c9263df", ip = "66.41.100.202:59376", id = 2} said "-vote restart" to all (output suppressed by Slmod)
CHAT: Jul 29 01:17:50 {name  = "Rubble", ucid = "8e75eb749b0090c7ba93afe11c9263df", ip = "66.41.100.202:59376", id = 2} said "-status" to all
CHAT: Jul 29 01:18:03 {name  = "Rubble", ucid = "8e75eb749b0090c7ba93afe11c9263df", ip = "66.41.100.202:59376", id = 2} said "-vote status" to all (output suppressed by Slmod)
CHAT: Jul 29 01:18:28 {name  = "Rubble", ucid = "8e75eb749b0090c7ba93afe11c9263df", ip = "66.41.100.202:59376", id = 2} said "-vote" to all (output suppressed by Slmod)
CHAT: Jul 29 01:18:54 {name  = "Rubble", ucid = "8e75eb749b0090c7ba93afe11c9263df", ip = "66.41.100.202:59376", id = 2} said "-vote list" to all (output suppressed by Slmod)
TEAM HIT: Jul 30 00:54:37 {players = {1 = {name  = "Razorback 1-1 | Stolas", ucid = "fab062746d2d915276446f17678aa251", ip = "108.32.64.10:40963", id = 2}1 = {name = 00_RED_BUNKER_1 #061 with kamikaze
TEAM KILL: Jul 30 00:54:39 {players = {1 = {name  = "Razorback 1-1 | Stolas", ucid = "fab062746d2d915276446f17678aa251", ip = "nil", id = 2}1 = {name = 00_RED_BUNKER_1 #061 with kamikaze
CHAT: Jul 31 14:51:46 {name  = "Rubble", ucid = "8e75eb749b0090c7ba93afe11c9263df", ip = "66.41.100.202:56581", id = 2} said "-vote" to all (output suppressed by Slmod)
CHAT: Jul 31 14:51:57 {name  = "Rubble", ucid = "8e75eb749b0090c7ba93afe11c9263df", ip = "66.41.100.202:56581", id = 2} said "-rtv" to all (output suppressed by Slmod)
CHAT: Jul 31 14:51:57 {name  = "Rubble", ucid = "8e75eb749b0090c7ba93afe11c9263df", ip = "66.41.100.202:56581", id = 2} said "Rubble has voted to rock the vote." to all
CHAT: Jul 31 14:52:02 {name  = "Rubble", ucid = "8e75eb749b0090c7ba93afe11c9263df", ip = "66.41.100.202:56581", id = 2} said "Slmod: RTV has been succsseful. Mission vote now starting. Vote will last for: 3.00 minutes." to all
CHAT: Jul 31 14:52:18 {name  = "Rubble", ucid = "8e75eb749b0090c7ba93afe11c9263df", ip = "66.41.100.202:56581", id = 2} said "-vote restart" to all (output suppressed by Slmod)
CHAT: Jul 31 21:01:08 {name  = "Rubble", ucid = "8e75eb749b0090c7ba93afe11c9263df", ip = "66.41.100.202:55232", id = 4} said "-vote" to all (output suppressed by Slmod)
CHAT: Jul 31 21:01:13 {name  = "Rubble", ucid = "8e75eb749b0090c7ba93afe11c9263df", ip = "66.41.100.202:55232", id = 4} said "-rtv" to all (output suppressed by Slmod)
CHAT: Jul 31 21:01:13 {name  = "Rubble", ucid = "8e75eb749b0090c7ba93afe11c9263df", ip = "66.41.100.202:55232", id = 4} said "Rubble has voted to rock the vote." to all
CHAT: Jul 31 21:01:18 {name  = "Rubble", ucid = "8e75eb749b0090c7ba93afe11c9263df", ip = "66.41.100.202:55232", id = 4} said "Slmod: RTV has been succsseful. Mission vote now starting. Vote will last for: 3.00 minutes." to all
CHAT: Jul 31 21:01:26 {name  = "Rubble", ucid = "8e75eb749b0090c7ba93afe11c9263df", ip = "66.41.100.202:55232", id = 4} said "-vote list" to all (output suppressed by Slmod)
CHAT: Jul 31 21:01:53 {name  = "Rubble", ucid = "8e75eb749b0090c7ba93afe11c9263df", ip = "66.41.100.202:55232", id = 4} said "-show list" to all (output suppressed by Slmod)
CHAT: Jul 31 21:02:15 {name  = "Rubble", ucid = "8e75eb749b0090c7ba93afe11c9263df", ip = "66.41.100.202:55232", id = 4} said "-vote restart" to all (output suppressed by Slmod)
