CHAT: Jan 01 22:32:43 {name  = "LiquidIce", ucid = "cbee92e628c9d9769d8ddcb384a7a813", ip = "5.70.135.153:49729", id = 12} said "just incase your wondering im the one shooting from the destroyer  in novo port" to all
TEAM KILL: Jan 02 00:21:34 {players = {1 = {name  = "Kaus", ucid = "87cb35c6d195f3171b0c0cc5329c79b6", ip = "nil", id = 18}1 = {name = Ecko with AIM-120C
CHAT: Jan 02 00:21:54 {name  = "Ecko", ucid = "df9a106ce6fc3c8d5053a50e04b3c26c", ip = "37.201.5.160:12905", id = 2} said "-forgive" to all (output suppressed by Slmod)
CHAT: Jan 02 00:21:58 {name  = "Ecko", ucid = "df9a106ce6fc3c8d5053a50e04b3c26c", ip = "37.201.5.160:12905", id = 2} said "forgive" to all
CHAT: Jan 02 00:22:00 {name  = "Kaus", ucid = "87cb35c6d195f3171b0c0cc5329c79b6", ip = "84.182.145.49:58623", id = 18} said "sorry i selected the wrong target" to all
CHAT: Jan 02 00:22:24 {name  = "Ecko", ucid = "df9a106ce6fc3c8d5053a50e04b3c26c", ip = "37.201.5.160:12905", id = 2} said "np" to all
CHAT: Jan 02 00:28:10 {name  = "rrasfly2", ucid = "31d8921706a66ba846336e806242e77e", ip = "24.236.46.124:53345", id = 15} said "my gun is armed" to all
CHAT: Jan 02 00:28:18 {name  = "VFA-147: Icarus", ucid = "47f8b79274ead0a1407967af686b5d6b", ip = "68.197.43.56:50497", id = 21} said "DO IT" to all
CHAT: Jan 02 00:28:22 {name  = "VFA-147: Icarus", ucid = "47f8b79274ead0a1407967af686b5d6b", ip = "68.197.43.56:50497", id = 21} said ":)" to all
TEAM HIT: Jan 02 00:28:39 {players = {1 = {name  = "rrasfly2", ucid = "31d8921706a66ba846336e806242e77e", ip = "24.236.46.124:53345", id = 15}1 = {name = VFA-147: Icarus with GAU-8
TEAM HIT: Jan 02 00:28:40 {players = {1 = {name  = "rrasfly2", ucid = "31d8921706a66ba846336e806242e77e", ip = "24.236.46.124:53345", id = 15}1 = {name = VFA-147: Icarus with GAU-8
TEAM HIT: Jan 02 00:28:41 {players = {1 = {name  = "rrasfly2", ucid = "31d8921706a66ba846336e806242e77e", ip = "24.236.46.124:53345", id = 15}1 = {name = VFA-147: Icarus with GAU-8
TEAM HIT: Jan 02 00:28:41 {players = {1 = {name  = "rrasfly2", ucid = "31d8921706a66ba846336e806242e77e", ip = "24.236.46.124:53345", id = 15}1 = {name = VFA-147: Icarus with GAU-8
TEAM HIT: Jan 02 00:28:42 {players = {1 = {name  = "rrasfly2", ucid = "31d8921706a66ba846336e806242e77e", ip = "24.236.46.124:53345", id = 15}1 = {name = VFA-147: Icarus with GAU-8
TEAM HIT: Jan 02 00:28:43 {players = {1 = {name  = "rrasfly2", ucid = "31d8921706a66ba846336e806242e77e", ip = "24.236.46.124:53345", id = 15}1 = {name = VFA-147: Icarus with GAU-8
TEAM HIT: Jan 02 00:28:44 {players = {1 = {name  = "rrasfly2", ucid = "31d8921706a66ba846336e806242e77e", ip = "24.236.46.124:53345", id = 15}1 = {name = VFA-147: Icarus with GAU-8
TEAM HIT: Jan 02 00:28:45 {players = {1 = {name  = "rrasfly2", ucid = "31d8921706a66ba846336e806242e77e", ip = "24.236.46.124:53345", id = 15}1 = {name = VFA-147: Icarus with GAU-8
TEAM HIT: Jan 02 00:28:46 {players = {1 = {name  = "rrasfly2", ucid = "31d8921706a66ba846336e806242e77e", ip = "24.236.46.124:53345", id = 15}1 = {name = VFA-147: Icarus with GAU-8
TEAM HIT: Jan 02 00:28:47 {players = {1 = {name  = "rrasfly2", ucid = "31d8921706a66ba846336e806242e77e", ip = "24.236.46.124:53345", id = 15}1 = {name = VFA-147: Icarus with GAU-8
TEAM HIT: Jan 02 00:28:48 {players = {1 = {name  = "rrasfly2", ucid = "31d8921706a66ba846336e806242e77e", ip = "24.236.46.124:53345", id = 15}1 = {name = VFA-147: Icarus with GAU-8
TEAM HIT: Jan 02 00:28:49 {players = {1 = {name  = "rrasfly2", ucid = "31d8921706a66ba846336e806242e77e", ip = "24.236.46.124:53345", id = 15}1 = {name = VFA-147: Icarus with GAU-8
TEAM HIT: Jan 02 00:28:50 {players = {1 = {name  = "rrasfly2", ucid = "31d8921706a66ba846336e806242e77e", ip = "24.236.46.124:53345", id = 15}1 = {name = VFA-147: Icarus with GAU-8
TEAM HIT: Jan 02 00:28:51 {players = {1 = {name  = "rrasfly2", ucid = "31d8921706a66ba846336e806242e77e", ip = "24.236.46.124:53345", id = 15}1 = {name = VFA-147: Icarus with GAU-8
CHAT: Jan 02 00:28:55 {name  = "VFA-147: Icarus", ucid = "47f8b79274ead0a1407967af686b5d6b", ip = "68.197.43.56:50497", id = 21} said "HAHAHAH" to all
CHAT: Jan 02 00:29:18 {name  = "VFA-147: Icarus", ucid = "47f8b79274ead0a1407967af686b5d6b", ip = "68.197.43.56:50497", id = 21} said "-forgive" to all (output suppressed by Slmod)
CHAT: Jan 02 00:29:22 {name  = "rrasfly2", ucid = "31d8921706a66ba846336e806242e77e", ip = "24.236.46.124:53345", id = 15} said "how did you survise that lol!" to all
CHAT: Jan 02 00:29:27 {name  = "VFA-147: Icarus", ucid = "47f8b79274ead0a1407967af686b5d6b", ip = "68.197.43.56:50497", id = 21} said "Not a clue" to all
CHAT: Jan 02 00:29:32 {name  = "VFA-147: Icarus", ucid = "47f8b79274ead0a1407967af686b5d6b", ip = "68.197.43.56:50497", id = 21} said "Harrier is broken af" to all
TEAM HIT: Jan 02 00:36:24 {players = {1 = {name  = "Raptor 2-1 | Beyond", ucid = "c934e7167054ec0cb4ed8094eefa2ec8", ip = "86.58.43.241:52280", id = 6}1 = {name = rrasfly2 with F/A-18C Lot 20
TEAM KILL: Jan 02 00:38:09 {players = {1 = {name  = "rrasfly2", ucid = "31d8921706a66ba846336e806242e77e", ip = "nil", id = 15}1 = {name = Pilot #208 with GAU-8
TEAM KILL: Jan 02 00:39:13 {players = {1 = {name  = "Raptor 2-1 | Beyond", ucid = "c934e7167054ec0cb4ed8094eefa2ec8", ip = "nil", id = 6}1 = {name = rrasfly2 with F/A-18C Lot 20
TEAM HIT: Jan 02 01:03:29 {players = {1 = {name  = "anewshape", ucid = "986bfc0e85499849847a0dd47890f594", ip = "84.196.152.243:61964", id = 12}1 = {name = Vano 4-62 = {name = Dragon 3-5 with AIM-120C
CHAT: Jan 02 01:03:48 {name  = "anewshape", ucid = "986bfc0e85499849847a0dd47890f594", ip = "84.196.152.243:61964", id = 12} said "sorry" to all
CHAT: Jan 02 01:04:15 {name  = "Corex", ucid = "cc14685cefd555e0693fe046eeec8484", ip = "91.152.32.6:61265", id = 5} said "how do u lock target as Rio in f14" to all
CHAT: Jan 02 01:04:34 {name  = "Corex", ucid = "cc14685cefd555e0693fe046eeec8484", ip = "91.152.32.6:61265", id = 5} said "send help" to all
CHAT: Jan 02 01:20:13 {name  = "Krilli", ucid = "b2277d16a77ffb09d14d6ea0c7ebfc4c", ip = "91.64.197.160:60147", id = 14} said "why the phoenixs are so weird" to all
CHAT: Jan 02 01:20:22 {name  = "Krilli", ucid = "b2277d16a77ffb09d14d6ea0c7ebfc4c", ip = "91.64.197.160:60147", id = 14} said "doing every second 90 degree adjustments" to all
CHAT: Jan 02 01:23:44 {name  = "kill n joker", ucid = "dd2022278e5590bc75794e5e6aaf600e", ip = "66.27.199.197:50072", id = 20} said "gipsy your gear is out" to all
CHAT: Jan 02 01:24:00 {name  = "GipsyGhost", ucid = "290f4d92a457617021f7e9295b13a925", ip = "84.196.168.219:62259", id = 10} said "thanks" to all
CHAT: Jan 02 01:27:56 {name  = "Raptor 2-1 | Beyond", ucid = "c934e7167054ec0cb4ed8094eefa2ec8", ip = "86.58.43.241:52280", id = 6} said "gipsy airbrake" to all
CHAT: Jan 02 01:28:07 {name  = "Raptor 2-1 | Beyond", ucid = "c934e7167054ec0cb4ed8094eefa2ec8", ip = "86.58.43.241:52280", id = 6} said "close it" to all
CHAT: Jan 02 01:28:19 {name  = "GipsyGhost", ucid = "290f4d92a457617021f7e9295b13a925", ip = "84.196.168.219:62259", id = 10} said "haha" to all
CHAT: Jan 02 01:28:21 {name  = "GipsyGhost", ucid = "290f4d92a457617021f7e9295b13a925", ip = "84.196.168.219:62259", id = 10} said "sorry" to all
CHAT: Jan 02 01:30:05 {name  = "Raptor 2-1 | Beyond", ucid = "c934e7167054ec0cb4ed8094eefa2ec8", ip = "86.58.43.241:52280", id = 6} said "f-15's are down take care of the a10's" to all
CHAT: Jan 02 01:30:11 {name  = "Raptor 2-1 | Beyond", ucid = "c934e7167054ec0cb4ed8094eefa2ec8", ip = "86.58.43.241:52280", id = 6} said "i'm winchester" to all
CHAT: Jan 02 01:46:23 {name  = "Spamraam 1-7 MadFrench", ucid = "4e3f391e7035f7333a6c0b93f1553b1a", ip = "90.78.173.109:61601", id = 19} said "gypsy f15 on you" to all
CHAT: Jan 02 01:46:29 {name  = "Spamraam 1-7 MadFrench", ucid = "4e3f391e7035f7333a6c0b93f1553b1a", ip = "90.78.173.109:61601", id = 19} said "145" to all
CHAT: Jan 02 01:46:35 {name  = "Spamraam 1-7 MadFrench", ucid = "4e3f391e7035f7333a6c0b93f1553b1a", ip = "90.78.173.109:61601", id = 19} said "for 11" to all
CHAT: Jan 02 01:46:52 {name  = "Spamraam 1-7 MadFrench", ucid = "4e3f391e7035f7333a6c0b93f1553b1a", ip = "90.78.173.109:61601", id = 19} said "cj 112 for 023" to all
CHAT: Jan 02 02:16:19 {name  = "lcabc", ucid = "d721fb0459fc459a96c157a124904c81", ip = "68.105.189.155:54104", id = 13} said "mq9 reaper" to all
CHAT: Jan 02 02:20:06 {name  = "lcabc", ucid = "d721fb0459fc459a96c157a124904c81", ip = "68.105.189.155:54104", id = 13} said "will the SAM missiles kill my MQ9?" to all
CHAT: Jan 02 02:38:18 {name  = "st4lker", ucid = "8139c2c681b0bd7315cf38d5d090eb93", ip = "71.146.123.185:65335", id = 13} said "do you have mic?" to all
CHAT: Jan 02 02:38:43 {name  = "Preacher", ucid = "6874cb82fca6189847c7816feaa86f32", ip = "67.166.79.170:64344", id = 15} said "Not at the moment :(" to all
CHAT: Jan 02 02:38:55 {name  = "st4lker", ucid = "8139c2c681b0bd7315cf38d5d090eb93", ip = "71.146.123.185:65335", id = 13} said "nikki do you have mic?" to all
CHAT: Jan 02 02:40:38 {name  = "Preacher", ucid = "6874cb82fca6189847c7816feaa86f32", ip = "67.166.79.170:64344", id = 15} said "My missiles should at least put them defensive" to all
TEAM HIT: Jan 02 02:42:45 {players = {1 = {name  = "Devin", ucid = "aa500997b02818ba5ef10dca5ef9d57d", ip = "124.244.76.5:50521", id = 21}1 = {name = NORTH_CVN_2 with F/A-18C Lot 20
CHAT: Jan 02 02:43:46 {name  = "Preacher", ucid = "6874cb82fca6189847c7816feaa86f32", ip = "67.166.79.170:64344", id = 15} said "Phoenixes are hot garbage right now lol" to all
CHAT: Jan 02 02:43:52 {name  = "st4lker", ucid = "8139c2c681b0bd7315cf38d5d090eb93", ip = "71.146.123.185:65335", id = 13} said "nah theyre not" to all
CHAT: Jan 02 02:44:07 {name  = "ObiBongKenobi", ucid = "9673a37385de57c7d8a92f9b524deeb5", ip = "108.184.98.128:50196", id = 3} said "really i have great success with them" to all
CHAT: Jan 02 02:44:14 {name  = "ObiBongKenobi", ucid = "9673a37385de57c7d8a92f9b524deeb5", ip = "108.184.98.128:50196", id = 3} said "when jester doesnt piss me off" to all
CHAT: Jan 02 02:44:28 {name  = "Preacher", ucid = "6874cb82fca6189847c7816feaa86f32", ip = "67.166.79.170:64344", id = 15} said "The last two volleys from tomcats on here have missed every single target" to all
CHAT: Jan 02 02:45:43 {name  = "ObiBongKenobi", ucid = "9673a37385de57c7d8a92f9b524deeb5", ip = "108.184.98.128:50196", id = 3} said "o shit" to all
CHAT: Jan 02 02:45:48 {name  = "ObiBongKenobi", ucid = "9673a37385de57c7d8a92f9b524deeb5", ip = "108.184.98.128:50196", id = 3} said "i was about to line up" to all
CHAT: Jan 02 02:45:54 {name  = "ObiBongKenobi", ucid = "9673a37385de57c7d8a92f9b524deeb5", ip = "108.184.98.128:50196", id = 3} said "tf he spawned right in front of me" to all
CHAT: Jan 02 02:45:55 {name  = "ObiBongKenobi", ucid = "9673a37385de57c7d8a92f9b524deeb5", ip = "108.184.98.128:50196", id = 3} said "rip" to all
CHAT: Jan 02 02:48:08 {name  = "Preacher", ucid = "6874cb82fca6189847c7816feaa86f32", ip = "67.166.79.170:64344", id = 15} said "going up for cap" to all
TEAM HIT: Jan 02 02:53:30 {players = {1 = {name  = "VASSMADAR", ucid = "7d4342f144dd617d74d1bb8519059f18", ip = "94.21.216.187:63295", id = 23}1 = {name = Wounded Pilot #3448 with kamikaze
TEAM KILL: Jan 02 02:53:32 {players = {1 = {name  = "VASSMADAR", ucid = "7d4342f144dd617d74d1bb8519059f18", ip = "nil", id = 23}1 = {name = Wounded Pilot #3448 with kamikaze
CHAT: Jan 02 02:53:35 {name  = "lcabc", ucid = "d721fb0459fc459a96c157a124904c81", ip = "68.105.189.155:54585", id = 4} said "is that considered ABUSE if I control friendly SAMs to a bad position?" to all
CHAT: Jan 02 02:54:00 {name  = "AlexBigrodus", ucid = "f7b74b6e03050b75e5ee4c224102b4a7", ip = "71.125.3.15:61181", id = 14} said "`bad?" to all
CHAT: Jan 02 02:54:19 {name  = "lcabc", ucid = "d721fb0459fc459a96c157a124904c81", ip = "68.105.189.155:54585", id = 4} said "a position that is not allowed" to all
CHAT: Jan 02 03:46:01 {name  = "392Goose", ucid = "16af030f073bec30c19c9d1a0c7f0127", ip = "45.17.92.52:64190", id = 9} said "Runway clear CJ" to all
CHAT: Jan 02 03:47:49 {name  = "CJ SPCL", ucid = "b8aa0abbe82a1c5f554c0bc11636365f", ip = "99.113.187.117:61393", id = 5} said "tnk" to all
CHAT: Jan 02 04:07:11 {name  = "392Goose", ucid = "16af030f073bec30c19c9d1a0c7f0127", ip = "45.17.92.52:64190", id = 9} said "Hello VASS" to all
TEAM HIT: Jan 02 04:14:54 {players = {1 = {name  = "CJ SPCL", ucid = "b8aa0abbe82a1c5f554c0bc11636365f", ip = "99.113.187.117:61393", id = 5}1 = {name = logtistic13 with A-10C II
TEAM KILL: Jan 02 04:14:54 {players = {1 = {name  = "CJ SPCL", ucid = "b8aa0abbe82a1c5f554c0bc11636365f", ip = "nil", id = 5}1 = {name = logtistic13 with A-10C II
CHAT: Jan 02 04:29:23 {name  = "ObiBongKenobi", ucid = "9673a37385de57c7d8a92f9b524deeb5", ip = "108.184.98.128:50196", id = 3} said "I fucken hate lagg" to all
CHAT: Jan 02 04:29:58 {name  = "DistantBubble", ucid = "a678b155805b60632a97d5d113c82193", ip = "86.174.205.210:51238", id = 10} said "i'm fine so it might just be you" to all
CHAT: Jan 02 04:30:20 {name  = "ObiBongKenobi", ucid = "9673a37385de57c7d8a92f9b524deeb5", ip = "108.184.98.128:50196", id = 3} said "well im not in italy" to all
CHAT: Jan 02 04:30:27 {name  = "DistantBubble", ucid = "a678b155805b60632a97d5d113c82193", ip = "86.174.205.210:51238", id = 10} said "nor am i" to all
CHAT: Jan 02 04:30:48 {name  = "ObiBongKenobi", ucid = "9673a37385de57c7d8a92f9b524deeb5", ip = "108.184.98.128:50196", id = 3} said "certain servers are laggy for me than others" to all
CHAT: Jan 02 04:30:50 {name  = "ObiBongKenobi", ucid = "9673a37385de57c7d8a92f9b524deeb5", ip = "108.184.98.128:50196", id = 3} said "idkk" to all
CHAT: Jan 02 04:31:08 {name  = "ObiBongKenobi", ucid = "9673a37385de57c7d8a92f9b524deeb5", ip = "108.184.98.128:50196", id = 3} said "like vipers traning server, i get 20 ping but its godly laggyyy" to all
TEAM HIT: Jan 02 04:38:30 {players = {1 = {name  = "392Goose", ucid = "16af030f073bec30c19c9d1a0c7f0127", ip = "45.17.92.52:64190", id = 9}1 = {name = Wounded Pilot #3661 with CBU-97/CBU-105 SFW
TEAM KILL: Jan 02 04:38:32 {players = {1 = {name  = "392Goose", ucid = "16af030f073bec30c19c9d1a0c7f0127", ip = "nil", id = 9}1 = {name = Wounded Pilot #3661 with CBU-97/CBU-105 SFW
CHAT: Jan 02 04:44:14 {name  = "Whateves", ucid = "6cc647fd7d1fbf00318108290d7a5f4d", ip = "76.126.27.235:57005", id = 8} said "MiG-21 is faster than AIM-120s :)" to all
