CHAT: Jul 05 18:52:45 {name  = "Bouncer", ucid = "744fd6e07fef726ab97081def38534ae", ip = "94.195.35.143:54362", id = 3} said "we cant lauch because u cant land scary" to all
CHAT: Jul 06 06:20:21 {name  = "Cornpop 1-1 | Burrito", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:49553", id = 13} said "thius is how i keep talking myself outta a fancy hotas" to all
CHAT: Jul 06 06:21:46 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.54.164:60983", id = 10} said "lol" to all
CHAT: Jul 06 06:21:52 {name  = "Cornpop 1-1 | Burrito", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:49553", id = 13} said "\" to all
CHAT: Jul 06 06:22:01 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.54.164:60983", id = 10} said "im still running a $40 stick" to all
CHAT: Jul 06 06:22:57 {name  = "Cornpop 1-1 | Burrito", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:49553", id = 13} said "when i first got into dcs i figured there would be more community and pvp" to all
CHAT: Jul 06 06:23:09 {name  = "Cornpop 1-1 | Burrito", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:49553", id = 13} said "kinda let down tbh" to all
CHAT: Jul 06 06:23:32 {name  = "Cornpop 1-1 | Burrito", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:49553", id = 13} said "so many loners on this sim and baddies" to all
CHAT: Jul 06 06:25:57 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.54.164:60983", id = 10} said "Its hard for me to find a good crowd to play with because of when I am on" to all
CHAT: Jul 06 06:26:16 {name  = "Cornpop 1-1 | Burrito", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:49553", id = 13} said "yah you play weird hours" to all
CHAT: Jul 06 06:26:35 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.54.164:60983", id = 10} said "Night shift... thats why.  So my nights off im up at strange time for my area" to all
CHAT: Jul 06 06:26:49 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.54.164:60983", id = 10} said "and there is nothing else to do because everyuthing is closed and most people are asleep" to all
CHAT: Jul 06 06:28:28 {name  = "Cornpop 1-1 | Burrito", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:49553", id = 13} said "the biggest issue ive found online is the amount of rage quit" to all
CHAT: Jul 06 06:28:53 {name  = "Cornpop 1-1 | Burrito", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:49553", id = 13} said "idk if its just the times or what but seems like people cant stick it out" to all
CHAT: Jul 06 06:29:07 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.54.164:60983", id = 10} said "biggest problems for this game is barrier of entry" to all
CHAT: Jul 06 06:29:14 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.54.164:60983", id = 10} said "need a good computer and a stick" to all
CHAT: Jul 06 06:29:32 {name  = "Cornpop 1-1 | Burrito", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:49553", id = 13} said "that too" to all
CHAT: Jul 06 06:29:36 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.54.164:60983", id = 10} said "and there is so much to learn just to play... first off you need to know how to fly LOL" to all
CHAT: Jul 06 06:29:55 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.54.164:60983", id = 10} said "thats enough that most people are like "nope im out"" to all
CHAT: Jul 06 06:30:04 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.54.164:60983", id = 10} said "then you have to learn systems and weapons... then tactics" to all
CHAT: Jul 06 06:30:11 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.54.164:60983", id = 10} said "just to not suck" to all
CHAT: Jul 06 06:30:18 {name  = "Cornpop 1-1 | Burrito", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:49553", id = 13} said "yah ive tried to talk some friends that love acecombat into this" to all
CHAT: Jul 06 06:30:23 {name  = "Cornpop 1-1 | Burrito", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:49553", id = 13} said "and they like nooooope" to all
CHAT: Jul 06 06:31:25 {name  = "Cornpop 1-1 | Burrito", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:49553", id = 13} said "i used to do alot of iracing also. its kinda the same story there" to all
CHAT: Jul 06 06:32:07 {name  = "Cornpop 1-1 | Burrito", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:49553", id = 13} said "but not as bad.. cause of what you already stated" to all
CHAT: Jul 06 06:33:00 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.54.164:60983", id = 10} said "yeah i love it but its hard to get people in here... i think they need to focus on" to all
CHAT: Jul 06 06:33:11 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.54.164:60983", id = 10} said "making better game modes / dynamic campaigns" to all
CHAT: Jul 06 06:33:26 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.54.164:60983", id = 10} said "maybe include more entry level airplanes" to all
CHAT: Jul 06 06:33:47 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.54.164:60983", id = 10} said "I don't know what the answer is...  I love DCS but it took me a couple months before I even felt" to all
CHAT: Jul 06 06:33:54 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.54.164:60983", id = 10} said "comfortable stepping into multi player" to all
CHAT: Jul 06 06:42:14 {name  = "Cornpop 1-1 | Burrito", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:49553", id = 13} said "hahaha i cant believe i made that landing. 000lbs fuel" to all
CHAT: Jul 06 06:42:31 {name  = "Cornpop 1-1 | Burrito", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:49553", id = 13} said "and you saved my ass" to all
CHAT: Jul 06 06:42:35 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.54.164:60983", id = 10} said "lol and dragged them all back here with you" to all
CHAT: Jul 06 06:44:56 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.54.164:60983", id = 10} said "need more air to air before i can go out again.." to all
CHAT: Jul 06 06:45:47 {name  = "Cornpop 1-1 | Burrito", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:49553", id = 13} said "ill cap i just need to rearm and get a drink" to all
CHAT: Jul 06 06:47:08 {name  = "Cornpop 1-1 | Burrito", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:49553", id = 13} said "yah they need to work on game modes and campaigns.. it really lacking imo" to all
CHAT: Jul 06 06:47:23 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.54.164:60983", id = 10} said "yup" to all
CHAT: Jul 06 06:47:39 {name  = "Cornpop 1-1 | Burrito", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:49553", id = 13} said "really suprises me when i see this sim has been around for almost 10 years" to all
CHAT: Jul 06 06:48:16 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.54.164:60983", id = 10} said "yup I also think they need a new game engine that uses multi core" to all
CHAT: Jul 06 06:48:39 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.54.164:60983", id = 10} said "I have a theory that MAC (Modern Air Combat) will use the new engine" to all
CHAT: Jul 06 06:48:53 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.54.164:60983", id = 10} said "and they will use that as a "test" to try and convert DCS over...." to all
CHAT: Jul 06 06:49:12 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.54.164:60983", id = 10} said "but who knows when the hell or even "IF" the hell that will ever happen" to all
CHAT: Jul 06 06:53:08 {name  = "Cornpop 1-1 | Burrito", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:49553", id = 13} said "never heard of MAC" to all
CHAT: Jul 06 06:53:43 {name  = "Cornpop 1-1 | Burrito", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:49553", id = 13} said "im getting old.. i seem to never know whats hip anymore" to all
CHAT: Jul 06 06:54:42 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.54.164:60983", id = 10} said "low fidelity DCS basically..." to all
CHAT: Jul 06 06:54:58 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.54.164:60983", id = 10} said "thats what MAC was or is going to be if they ever release it" to all
CHAT: Jul 06 06:55:56 {name  = "Cornpop 1-1 | Burrito", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:49553", id = 13} said "ill be in the air 30 sec" to all
CHAT: Jul 06 06:59:43 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.54.164:60983", id = 10} said "down to my last amraam" to all
CHAT: Jul 06 07:00:05 {name  = "Cornpop 1-1 | Burrito", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:49553", id = 13} said "how did you know about the f16 updates? you read the forums alot?" to all
CHAT: Jul 06 07:00:06 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.54.164:60983", id = 10} said "going for wp16" to all
CHAT: Jul 06 07:00:27 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.54.164:60983", id = 10} said "reddit... hoggit dcsexposed dcs" to all
CHAT: Jul 06 07:00:36 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.54.164:60983", id = 10} said "and i find out from friends on discord" to all
CHAT: Jul 06 07:01:58 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.54.164:60983", id = 10} said "going to try and get the rest of them at wp16 im out of Air to Air" to all
CHAT: Jul 06 07:02:07 {name  = "Cornpop 1-1 | Burrito", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:49553", id = 13} said "rge" to all
CHAT: Jul 06 07:02:11 {name  = "Cornpop 1-1 | Burrito", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:49553", id = 13} said "rgr" to all
CHAT: Jul 06 07:07:16 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.54.164:60983", id = 10} said "My squadern just called me to go play... catch you later" to all
CHAT: Jul 06 10:05:24 {name  = "GLAPostalService", ucid = "a657ef47311e6d1f50ae8cca9f111922", ip = "90.64.175.80:55249", id = 3} said "dude at least kill that mirage when your  in f16 :D" to all
CHAT: Jul 06 17:13:20 {name  = "ChampFourFive", ucid = "33b6e451a7493c1312a00f91c4d44fda", ip = "94.10.249.102:54260", id = 6} said "just couldnt lock him 14 sorry" to all
CHAT: Jul 06 17:13:39 {name  = "ChampFourFive", ucid = "33b6e451a7493c1312a00f91c4d44fda", ip = "94.10.249.102:54260", id = 6} said "its like he didnt excist, wasnt showing on radar" to all
CHAT: Jul 06 17:19:12 {name  = "Badger [VR]", ucid = "d24e0dd218a14a80cb99e3c4a66b3ebd", ip = "77.57.112.152:54131", id = 7} said "ow lol" to all
CHAT: Jul 06 17:19:24 {name  = "Badger [VR]", ucid = "d24e0dd218a14a80cb99e3c4a66b3ebd", ip = "77.57.112.152:54131", id = 7} said "su-30 hit while vtol landing" to all
CHAT: Jul 06 17:20:23 {name  = "|269| HotNess", ucid = "236909ccf1202d398644858b0647bde4", ip = "136.34.9.108:65161", id = 3} said "Ya something up with the 30's today. There never this much of Biggity Bitches" to all
CHAT: Jul 06 17:21:47 {name  = "-406- Bulldog", ucid = "fc9b9f8763fdf3392c395dd3e5545c75", ip = "98.253.30.245:51701", id = 4} said "just amraam them from 10 miles away problem solved" to all
CHAT: Jul 06 17:22:21 {name  = "|269| HotNess", ucid = "236909ccf1202d398644858b0647bde4", ip = "136.34.9.108:65161", id = 3} said "I usally do 30 when in a fast mover but we have no Fx2s yet" to all
CHAT: Jul 06 17:22:27 {name  = "Badger [VR]", ucid = "d24e0dd218a14a80cb99e3c4a66b3ebd", ip = "77.57.112.152:54131", id = 7} said "hard to do from a hind or harrier ;)" to all
CHAT: Jul 06 17:23:35 {name  = "|269| HotNess", ucid = "236909ccf1202d398644858b0647bde4", ip = "136.34.9.108:65161", id = 3} said "yup lol, will get R60s sometime then they ded" to all
CHAT: Jul 06 17:30:50 {name  = "Cher", ucid = "16940d53ea7dcb5d8da61b2e364cc47c", ip = "109.78.87.234:57747", id = 10} said "jesus this stutter is horrible" to all
CHAT: Jul 06 17:44:20 {name  = "Badger [VR]", ucid = "d24e0dd218a14a80cb99e3c4a66b3ebd", ip = "77.57.112.152:54131", id = 7} said "wolfkiller: you really tried to nuke that poor little radar at the end there" to all
CHAT: Jul 06 17:44:25 {name  = "Badger [VR]", ucid = "d24e0dd218a14a80cb99e3c4a66b3ebd", ip = "77.57.112.152:54131", id = 7} said "poor thing" to all
CHAT: Jul 06 17:44:54 {name  = "Wolfkiller", ucid = "bfb4f2276dc950e3dd382274db285fab", ip = "88.120.228.1:58277", id = 9} said "bingo fuel meant no mercy for him xD" to all
CHAT: Jul 06 17:45:11 {name  = "Wolfkiller", ucid = "bfb4f2276dc950e3dd382274db285fab", ip = "88.120.228.1:58277", id = 9} said "I hesitated with 2000lb bomb though" to all
CHAT: Jul 06 17:59:27 {name  = "-406- Bulldog", ucid = "fc9b9f8763fdf3392c395dd3e5545c75", ip = "98.253.30.245:51701", id = 4} said "i got that truck guys" to all
CHAT: Jul 06 18:03:57 {name  = "|269| HotNess", ucid = "236909ccf1202d398644858b0647bde4", ip = "136.34.9.108:65161", id = 3} said "Wish I had Jester instead of petro, much more useful" to all
CHAT: Jul 06 18:04:30 {name  = "Bobes", ucid = "11295ffd487d8a57979a23170e0a5af1", ip = "185.112.167.166:24369", id = 12} said "true that, sometimes I think my Petrovich is blind :-D" to all
CHAT: Jul 06 18:07:27 {name  = "|269| HotNess", ucid = "236909ccf1202d398644858b0647bde4", ip = "136.34.9.108:65161", id = 3} said "Since the last patch he has gotten worse" to all
CHAT: Jul 06 18:15:21 {name  = "-406- Bulldog", ucid = "fc9b9f8763fdf3392c395dd3e5545c75", ip = "98.253.30.245:51701", id = 4} said "tricco u got to aerobrake in that plane to slow down quicker" to all
CHAT: Jul 06 18:16:45 {name  = "Tricco75", ucid = "5f2dd19bb670390ee75338e34fbd44fb", ip = "137.25.56.150:49888", id = 16} said "I know i was too slow to pull my nose up at final and not stall" to all
CHAT: Jul 06 18:17:47 {name  = "BishopZulu", ucid = "46c144edde1a243c338eae816de71e36", ip = "70.231.124.126:52042", id = 19} said "grid CU.  Anyone taking out that bombing run?" to all
CHAT: Jul 06 18:18:13 {name  = "BishopZulu", ucid = "46c144edde1a243c338eae816de71e36", ip = "70.231.124.126:52042", id = 19} said "also sleepy weasle you have a missle inbound" to all
TEAM HIT: Jul 06 18:46:22 {players = {1 = {name  = "Chucky FOX3", ucid = "683257a1260f0cc99edc6830028c3475", ip = "81.35.198.136:64647", id = 13}1 = {name = 14_BLUE_UNITS_WUJAH_AL_HAJAR#001-02 with Kh-25MP
TEAM KILL: Jul 06 18:46:22 {players = {1 = {name  = "Chucky FOX3", ucid = "683257a1260f0cc99edc6830028c3475", ip = "nil", id = 13}1 = {name = 14_BLUE_UNITS_WUJAH_AL_HAJAR#001-02 with Kh-25MP
TEAM HIT: Jul 06 18:46:31 {players = {1 = {name  = "Chucky FOX3", ucid = "683257a1260f0cc99edc6830028c3475", ip = "81.35.198.136:64647", id = 13}1 = {name = 14_BLUE_UNITS_WUJAH_AL_HAJAR#001-01 with Kh-25MP
TEAM KILL: Jul 06 18:47:48 {players = {1 = {name  = "Chucky FOX3", ucid = "683257a1260f0cc99edc6830028c3475", ip = "nil", id = 13}1 = {name = 14_BLUE_UNITS_WUJAH_AL_HAJAR#001-01 with Kh-25MP
TEAM HIT: Jul 06 18:50:05 {players = {1 = {name  = "Chucky FOX3", ucid = "683257a1260f0cc99edc6830028c3475", ip = "81.35.198.136:64647", id = 13}1 = {name = 15_BLUE_UNITS_RENE_MOUAWAD#001-02 with Kh-58U
TEAM KILL: Jul 06 18:50:22 {players = {1 = {name  = "Chucky FOX3", ucid = "683257a1260f0cc99edc6830028c3475", ip = "nil", id = 13}1 = {name = 15_BLUE_UNITS_RENE_MOUAWAD#001-02 with Kh-58U
CHAT: Jul 06 18:50:22 {name  = "Abraxas", ucid = "7d7b678765b10b1340b41fa07a229f38", ip = "5.64.103.188:52516", id = 2} said "SLMOD INFO: Player "Chucky FOX3" is getting autokicked back to spectator" to all
CHAT: Jul 06 18:50:22 {name  = "|269| HotNess", ucid = "236909ccf1202d398644858b0647bde4", ip = "136.34.9.108:65161", id = 3} said "SLMOD INFO: Player "Chucky FOX3" is getting autokicked back to spectator" to all
CHAT: Jul 06 18:50:22 {name  = "-406- Bulldog", ucid = "fc9b9f8763fdf3392c395dd3e5545c75", ip = "98.253.30.245:51701", id = 4} said "SLMOD INFO: Player "Chucky FOX3" is getting autokicked back to spectator" to all
CHAT: Jul 06 18:50:22 {name  = "Ouragan99", ucid = "86578b245f575ebdfdce3225e4816f65", ip = "85.7.37.55:63671", id = 5} said "SLMOD INFO: Player "Chucky FOX3" is getting autokicked back to spectator" to all
CHAT: Jul 06 18:50:22 {name  = "fire1991", ucid = "4d4674e547d3c73b58f6a72995239284", ip = "2.203.219.197:50858", id = 6} said "SLMOD INFO: Player "Chucky FOX3" is getting autokicked back to spectator" to all
CHAT: Jul 06 18:50:22 {name  = "BeeRay", ucid = "a381f968426e543be2397d2edfdf6802", ip = "94.173.80.171:49955", id = 7} said "SLMOD INFO: Player "Chucky FOX3" is getting autokicked back to spectator" to all
CHAT: Jul 06 18:50:22 {name  = "ChampFourFive", ucid = "33b6e451a7493c1312a00f91c4d44fda", ip = "94.10.249.102:54498", id = 8} said "SLMOD INFO: Player "Chucky FOX3" is getting autokicked back to spectator" to all
CHAT: Jul 06 18:50:22 {name  = "Chief", ucid = "6876d78f072778bed502dc9bd0df1b89", ip = "159.180.52.46:55818", id = 9} said "SLMOD INFO: Player "Chucky FOX3" is getting autokicked back to spectator" to all
CHAT: Jul 06 18:50:22 {name  = "SENPAI", ucid = "746659c66b72d18410cbea88c47f31c5", ip = "93.56.166.11:11680", id = 10} said "SLMOD INFO: Player "Chucky FOX3" is getting autokicked back to spectator" to all
CHAT: Jul 06 18:50:22 {name  = "yossi", ucid = "f77dbbff5748026d19c5b88635ceab42", ip = "89.139.195.161:59203", id = 11} said "SLMOD INFO: Player "Chucky FOX3" is getting autokicked back to spectator" to all
CHAT: Jul 06 18:50:22 {name  = "Vulcan 1-1 | slt", ucid = "1d333f0b23f3758918883e054a49f1fb", ip = "86.49.249.167:4454", id = 12} said "SLMOD INFO: Player "Chucky FOX3" is getting autokicked back to spectator" to all
CHAT: Jul 06 18:50:22 {name  = "Chucky FOX3", ucid = "683257a1260f0cc99edc6830028c3475", ip = "81.35.198.136:64647", id = 13} said "SLMOD INFO: Player "Chucky FOX3" is getting autokicked back to spectator" to all
CHAT: Jul 06 18:50:22 {name  = "ALI", ucid = "d8fa8cf91550a584cf5e9948aa2aa7a9", ip = "2.50.101.71:54170", id = 14} said "SLMOD INFO: Player "Chucky FOX3" is getting autokicked back to spectator" to all
CHAT: Jul 06 18:50:22 {name  = "SunRay 3-2 | Jessuh", ucid = "9a3cafbf9c2bf9795b5780c73dd37382", ip = "145.53.221.62:51106", id = 15} said "SLMOD INFO: Player "Chucky FOX3" is getting autokicked back to spectator" to all
CHAT: Jul 06 18:50:22 {name  = "Cpt. Sam Kiwi Mazor", ucid = "2ea6306fc41885bf9451c4e8ebd84b83", ip = "89.138.33.54:32824", id = 16} said "SLMOD INFO: Player "Chucky FOX3" is getting autokicked back to spectator" to all
CHAT: Jul 06 18:50:22 {name  = "MARTILLO2| FX3 Sandman", ucid = "39ba0fe6ad003501d35ff54d175eb07c", ip = "188.208.219.15:62235", id = 20} said "SLMOD INFO: Player "Chucky FOX3" is getting autokicked back to spectator" to all
CHAT: Jul 06 18:50:22 {name  = "ROTOR 1-2 | Pack64_FX3", ucid = "3c7b06518e9fbead16bc58a559988f05", ip = "92.187.139.8:50145", id = 22} said "SLMOD INFO: Player "Chucky FOX3" is getting autokicked back to spectator" to all
CHAT: Jul 06 18:50:22 {name  = "Baka 8-5 | Speedy4GT", ucid = "41a7153fdbfed3803c6f5d16024f88e7", ip = "45.92.47.144:34972", id = 23} said "SLMOD INFO: Player "Chucky FOX3" is getting autokicked back to spectator" to all
TEAM HIT: Jul 06 19:36:28 {players = {1 = {name  = "=KAG=Katran", ucid = "cfc65033de1fe803f6fd10704e28ab1a", ip = "31.135.100.23:62052", id = 10}1 = {name = 27_BLUE_UNITS_HATAY#001-01 with S-8KOM
CHAT: Jul 06 19:51:48 {name  = "ChampFourFive", ucid = "33b6e451a7493c1312a00f91c4d44fda", ip = "94.10.249.102:54498", id = 8} said "eagke evade" to all
CHAT: Jul 06 19:51:56 {name  = "ChampFourFive", ucid = "33b6e451a7493c1312a00f91c4d44fda", ip = "94.10.249.102:54498", id = 8} said "i locked wrong target" to all
