CHAT: Apr 15 19:56:35 {name  = "Atec", ucid = "418f1c552c1ecbb1bc8843084e452390", ip = "95.91.198.172:1335", id = 7} said "good kill ^^" to all
CHAT: Apr 15 20:29:51 {name  = "Red_Apprentice", ucid = "aa4203bbad6dfa2edaded4c36304aeb5", ip = "73.254.216.248:56862", id = 10} said "73s" to all
CHAT: Apr 15 20:29:58 {name  = "Red_Apprentice", ucid = "aa4203bbad6dfa2edaded4c36304aeb5", ip = "73.254.216.248:56862", id = 10} said "High off boresight missiles" to all
CHAT: Apr 15 20:30:10 {name  = "[RODO]Kagrack Rage2-2", ucid = "ae6f2512430694f8d6e0ee4791546896", ip = "90.205.237.139:49190", id = 9} said "maykop's almost ours people" to all
CHAT: Apr 15 20:30:14 {name  = "Edward | Stingray 4-1", ucid = "e4f888c1cb8f3be3335136f7514b324e", ip = "95.5.25.203:65329", id = 40} said "R-73's we have in game are nowhere near equivalent to AIM-9X" to all
CHAT: Apr 15 20:32:15 {name  = "J-007", ucid = "b10a0e79d0aa1c93c49dc70f4435052b", ip = "80.100.93.34:65135", id = 37} said "any sams at sochi?" to all
CHAT: Apr 15 20:37:56 {name  = "Edward | Stingray 4-1", ucid = "e4f888c1cb8f3be3335136f7514b324e", ip = "95.5.25.203:65329", id = 40} said "any sam's left on Maykhop ?" to all
CHAT: Apr 15 20:39:33 {name  = "Gabriel 1-1 | TaEcon [FF]", ucid = "da79d76df2c22fadf4daa555c98a6ebd", ip = "76.122.148.179:49257", id = 4} said "why does my a-10 keep having stuff break?" to all
TEAM HIT: Apr 15 20:40:44 {players = {1 = {name  = "CriTiCaLEyEs", ucid = "67fb92e58e52e51cc73715094123f936", ip = "37.201.6.232:11061", id = 35}1 = {name = WizoR with R-73 (AA-11 Archer)
TEAM HIT: Apr 15 20:40:45 {players = {1 = {name  = "CriTiCaLEyEs", ucid = "67fb92e58e52e51cc73715094123f936", ip = "37.201.6.232:11061", id = 35}1 = {name = WizoR with R-73 (AA-11 Archer)
TEAM KILL: Apr 15 20:41:03 {players = {1 = {name  = "CriTiCaLEyEs", ucid = "67fb92e58e52e51cc73715094123f936", ip = "nil", id = 35}1 = {name = WizoR with R-73 (AA-11 Archer)
TEAM HIT: Apr 15 20:41:07 {players = {1 = {name  = "CriTiCaLEyEs", ucid = "67fb92e58e52e51cc73715094123f936", ip = "37.201.6.232:11061", id = 35}1 = {name = nakostyfoon with R-73 (AA-11 Archer)
TEAM HIT: Apr 15 20:41:08 {players = {1 = {name  = "CriTiCaLEyEs", ucid = "67fb92e58e52e51cc73715094123f936", ip = "37.201.6.232:11061", id = 35}1 = {name = nakostyfoon with R-73 (AA-11 Archer)
TEAM KILL: Apr 15 20:41:16 {players = {1 = {name  = "CriTiCaLEyEs", ucid = "67fb92e58e52e51cc73715094123f936", ip = "nil", id = 35}1 = {name = nakostyfoon with R-73 (AA-11 Archer)
CHAT: Apr 15 20:41:31 {name  = "CriTiCaLEyEs", ucid = "67fb92e58e52e51cc73715094123f936", ip = "37.201.6.232:11061", id = 35} said "wow sorry" to all
CHAT: Apr 15 20:41:34 {name  = "Alladin 1- 1 (Wingman)", ucid = "73343e2146f9cf790a41427b2ccd5fba", ip = "67.166.50.33:62577", id = 2} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:34 {name  = "Liebnnn", ucid = "9cbcf167b8adfd3bbfc5a3fd5480a588", ip = "46.244.49.46:56310", id = 3} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:34 {name  = "Gabriel 1-1 | TaEcon [FF]", ucid = "da79d76df2c22fadf4daa555c98a6ebd", ip = "76.122.148.179:49257", id = 4} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:34 {name  = "4YA Admin | Wellsy13", ucid = "e391ed0549bb19d1e802c92b58ed6b41", ip = "2.101.30.205:52089", id = 5} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:34 {name  = "✠ FarOut PT ✠", ucid = "e09de14c894b79aa6904d769e282827a", ip = "167.86.144.99:65206", id = 6} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:34 {name  = "-406- Squadron Idiot", ucid = "2e738a3732f34a10bab7f8fe11a728d6", ip = "142.166.17.76:62041", id = 7} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:34 {name  = "ChadMcdouche", ucid = "9837610eed650d524af40d16034e547a", ip = "84.217.127.6:50653", id = 8} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:34 {name  = "[RODO]Kagrack Rage2-2", ucid = "ae6f2512430694f8d6e0ee4791546896", ip = "90.205.237.139:49190", id = 9} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:34 {name  = "Red_Apprentice", ucid = "aa4203bbad6dfa2edaded4c36304aeb5", ip = "73.254.216.248:56862", id = 10} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:34 {name  = "Apex 1-1 I Hardy", ucid = "3ed45259980dd460d3f27d27a3cf4082", ip = "81.217.210.88:57621", id = 11} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:34 {name  = "269 | Rolo Tomassi", ucid = "71f79bbb309f434adb07f9a8cb8604c2", ip = "184.68.107.70:52027", id = 12} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:34 {name  = "SaLMoN", ucid = "8613582e54f9f7908b7cf81fd7adea1e", ip = "81.190.248.48:62675", id = 13} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:34 {name  = "ECM-279", ucid = "0752689e2fd2dbeb6b945f33e269c103", ip = "31.16.156.16:49995", id = 14} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:34 {name  = "Nassimdxb", ucid = "b098148213e11a0bb76aba24c2ff1dac", ip = "87.201.63.70:55364", id = 15} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:34 {name  = "Frog 1-1", ucid = "adac25c8b8b2e6fb343bd9f2f6017e2e", ip = "89.66.141.234:51239", id = 16} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:34 {name  = "nakostyfoon", ucid = "3f25b53980794d12140a6ba1a31a04e0", ip = "193.92.238.171:57063", id = 17} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:34 {name  = "si", ucid = "2524e85fdae326a62693a8814c154763", ip = "78.173.51.56:53785", id = 18} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:34 {name  = "Semaj660", ucid = "9e2297b0a5f5c0f8b7f2b8a9763bd26a", ip = "90.215.94.7:51111", id = 19} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:34 {name  = "=WRAG=345", ucid = "d47ee9db16555cc37036ad6224529f2e", ip = "128.74.173.7:59577", id = 20} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:34 {name  = "Ayey", ucid = "5c9b2c4bd446d3b64a7c60efd35b3cfa", ip = "219.95.94.173:62615", id = 21} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:34 {name  = "Yo Boi Mu$tard", ucid = "962ea7b4fbb7cfd1c721502d1b867996", ip = "162.206.85.175:51442", id = 22} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:34 {name  = "Apex 1-2 I M4RT!N", ucid = "e1d7e7ce510514fcabae0a3369e833cc", ip = "85.90.146.252:50032", id = 23} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:34 {name  = "WalkN87", ucid = "ca128d15a6c222a3c911abd2aefade02", ip = "31.36.7.93:56515", id = 24} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:34 {name  = "CheckYourVS", ucid = "41dc620c023fb5dc9cdb41323c5b8065", ip = "216.180.143.70:56912", id = 25} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:34 {name  = "Firestarter_76", ucid = "89e34067315b0690104ff9c454650ea9", ip = "94.252.121.72:18310", id = 26} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:34 {name  = "Wolfhound", ucid = "5548565b56cd6a0e5f4ff8fee3b6e145", ip = "86.92.105.30:52279", id = 27} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:34 {name  = "WizoR", ucid = "c00cd9198770f4a5061b883eccce4d80", ip = "194.219.76.175:54299", id = 28} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:34 {name  = "Sapper_101", ucid = "256687265b2a355863abfd7b2b328eaf", ip = "119.160.71.163:30714", id = 29} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:34 {name  = "[PTF](OR)Zeus 1-1", ucid = "78a1acf911b376394ffbcaa92cbc0e07", ip = "42.201.229.109:33924", id = 30} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:34 {name  = "Stirlizzz", ucid = "ed742e1b8fc6c628069db6998ca4390c", ip = "109.230.140.110:51699", id = 31} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:34 {name  = "Arisha228", ucid = "70dc88d8128719fd24e4e87237d71400", ip = "109.110.67.140:31239", id = 32} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:34 {name  = "SirMittens91", ucid = "609318c5aa572f83290a7807f4b14a13", ip = "81.107.145.223:54805", id = 33} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:34 {name  = "Taureau 1-2 | Rakilonn", ucid = "3bbbefd5133c870b24164dff4d13f5f1", ip = "90.43.209.133:63196", id = 34} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:34 {name  = "CriTiCaLEyEs", ucid = "67fb92e58e52e51cc73715094123f936", ip = "37.201.6.232:11061", id = 35} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:34 {name  = "Punk0uf [FR]", ucid = "6266c59dbd31c833dc915ed29e1ee898", ip = "78.226.136.16:64719", id = 36} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:34 {name  = "J-007", ucid = "b10a0e79d0aa1c93c49dc70f4435052b", ip = "80.100.93.34:65135", id = 37} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:34 {name  = "Apex 1-3 | Sey", ucid = "584f4a90b5e7053f24aa45114b842a91", ip = "84.149.191.231:49187", id = 38} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:34 {name  = "Falcon18", ucid = "0b2ad4d171f39c91990a92a195353c2f", ip = "92.107.56.25:52741", id = 39} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:34 {name  = "Edward | Stingray 4-1", ucid = "e4f888c1cb8f3be3335136f7514b324e", ip = "95.5.25.203:65329", id = 40} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:47 {name  = "Alladin 1- 1 (Wingman)", ucid = "73343e2146f9cf790a41427b2ccd5fba", ip = "67.166.50.33:62577", id = 2} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:47 {name  = "Liebnnn", ucid = "9cbcf167b8adfd3bbfc5a3fd5480a588", ip = "46.244.49.46:56310", id = 3} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:47 {name  = "Gabriel 1-1 | TaEcon [FF]", ucid = "da79d76df2c22fadf4daa555c98a6ebd", ip = "76.122.148.179:49257", id = 4} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:47 {name  = "4YA Admin | Wellsy13", ucid = "e391ed0549bb19d1e802c92b58ed6b41", ip = "2.101.30.205:52089", id = 5} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:47 {name  = "✠ FarOut PT ✠", ucid = "e09de14c894b79aa6904d769e282827a", ip = "167.86.144.99:65206", id = 6} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:47 {name  = "-406- Squadron Idiot", ucid = "2e738a3732f34a10bab7f8fe11a728d6", ip = "142.166.17.76:62041", id = 7} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:47 {name  = "ChadMcdouche", ucid = "9837610eed650d524af40d16034e547a", ip = "84.217.127.6:50653", id = 8} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:47 {name  = "[RODO]Kagrack Rage2-2", ucid = "ae6f2512430694f8d6e0ee4791546896", ip = "90.205.237.139:49190", id = 9} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:47 {name  = "Red_Apprentice", ucid = "aa4203bbad6dfa2edaded4c36304aeb5", ip = "73.254.216.248:56862", id = 10} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:47 {name  = "Apex 1-1 I Hardy", ucid = "3ed45259980dd460d3f27d27a3cf4082", ip = "81.217.210.88:57621", id = 11} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:47 {name  = "269 | Rolo Tomassi", ucid = "71f79bbb309f434adb07f9a8cb8604c2", ip = "184.68.107.70:52027", id = 12} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:47 {name  = "SaLMoN", ucid = "8613582e54f9f7908b7cf81fd7adea1e", ip = "81.190.248.48:62675", id = 13} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:47 {name  = "ECM-279", ucid = "0752689e2fd2dbeb6b945f33e269c103", ip = "31.16.156.16:49995", id = 14} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:47 {name  = "Nassimdxb", ucid = "b098148213e11a0bb76aba24c2ff1dac", ip = "87.201.63.70:55364", id = 15} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:47 {name  = "Frog 1-1", ucid = "adac25c8b8b2e6fb343bd9f2f6017e2e", ip = "89.66.141.234:51239", id = 16} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:47 {name  = "nakostyfoon", ucid = "3f25b53980794d12140a6ba1a31a04e0", ip = "193.92.238.171:57063", id = 17} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:47 {name  = "si", ucid = "2524e85fdae326a62693a8814c154763", ip = "78.173.51.56:53785", id = 18} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:47 {name  = "Semaj660", ucid = "9e2297b0a5f5c0f8b7f2b8a9763bd26a", ip = "90.215.94.7:51111", id = 19} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:47 {name  = "=WRAG=345", ucid = "d47ee9db16555cc37036ad6224529f2e", ip = "128.74.173.7:59577", id = 20} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:47 {name  = "Ayey", ucid = "5c9b2c4bd446d3b64a7c60efd35b3cfa", ip = "219.95.94.173:62615", id = 21} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:47 {name  = "Yo Boi Mu$tard", ucid = "962ea7b4fbb7cfd1c721502d1b867996", ip = "162.206.85.175:51442", id = 22} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:47 {name  = "Apex 1-2 I M4RT!N", ucid = "e1d7e7ce510514fcabae0a3369e833cc", ip = "85.90.146.252:50032", id = 23} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:47 {name  = "WalkN87", ucid = "ca128d15a6c222a3c911abd2aefade02", ip = "31.36.7.93:56515", id = 24} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:47 {name  = "CheckYourVS", ucid = "41dc620c023fb5dc9cdb41323c5b8065", ip = "216.180.143.70:56912", id = 25} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:47 {name  = "Firestarter_76", ucid = "89e34067315b0690104ff9c454650ea9", ip = "94.252.121.72:18310", id = 26} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:47 {name  = "Wolfhound", ucid = "5548565b56cd6a0e5f4ff8fee3b6e145", ip = "86.92.105.30:52279", id = 27} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:47 {name  = "WizoR", ucid = "c00cd9198770f4a5061b883eccce4d80", ip = "194.219.76.175:54299", id = 28} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:47 {name  = "Sapper_101", ucid = "256687265b2a355863abfd7b2b328eaf", ip = "119.160.71.163:30714", id = 29} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:47 {name  = "[PTF](OR)Zeus 1-1", ucid = "78a1acf911b376394ffbcaa92cbc0e07", ip = "42.201.229.109:33924", id = 30} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:47 {name  = "Stirlizzz", ucid = "ed742e1b8fc6c628069db6998ca4390c", ip = "109.230.140.110:51699", id = 31} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:47 {name  = "Arisha228", ucid = "70dc88d8128719fd24e4e87237d71400", ip = "109.110.67.140:31239", id = 32} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:47 {name  = "SirMittens91", ucid = "609318c5aa572f83290a7807f4b14a13", ip = "81.107.145.223:54805", id = 33} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:47 {name  = "Taureau 1-2 | Rakilonn", ucid = "3bbbefd5133c870b24164dff4d13f5f1", ip = "90.43.209.133:63196", id = 34} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:47 {name  = "CriTiCaLEyEs", ucid = "67fb92e58e52e51cc73715094123f936", ip = "37.201.6.232:11061", id = 35} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:47 {name  = "Punk0uf [FR]", ucid = "6266c59dbd31c833dc915ed29e1ee898", ip = "78.226.136.16:64719", id = 36} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:47 {name  = "J-007", ucid = "b10a0e79d0aa1c93c49dc70f4435052b", ip = "80.100.93.34:65135", id = 37} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:47 {name  = "Apex 1-3 | Sey", ucid = "584f4a90b5e7053f24aa45114b842a91", ip = "84.149.191.231:49187", id = 38} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:47 {name  = "Falcon18", ucid = "0b2ad4d171f39c91990a92a195353c2f", ip = "92.107.56.25:52741", id = 39} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:41:47 {name  = "Edward | Stingray 4-1", ucid = "e4f888c1cb8f3be3335136f7514b324e", ip = "95.5.25.203:65329", id = 40} said "SLMOD INFO: Player "CriTiCaLEyEs" is getting autokicked back to spectator" to all
CHAT: Apr 15 20:55:33 {name  = "Grantig", ucid = "1de7a13c5105ca6ba15119b282b7fe8c", ip = "2.207.18.244:59374", id = 37} said "so people are spawnraping in dcs" to all
CHAT: Apr 15 20:55:35 {name  = "Grantig", ucid = "1de7a13c5105ca6ba15119b282b7fe8c", ip = "2.207.18.244:59374", id = 37} said "ok" to all
CHAT: Apr 15 20:56:08 {name  = "WalkN87", ucid = "ca128d15a6c222a3c911abd2aefade02", ip = "31.36.7.93:56515", id = 24} said "not new..." to all
CHAT: Apr 15 20:57:37 {name  = "Nassimdxb", ucid = "b098148213e11a0bb76aba24c2ff1dac", ip = "87.201.63.70:55364", id = 15} said "wtff lol we almost smashed each other lol" to all
